Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Ovimbundu,37.0,undefined,undefined
Ambundu (Mbundu),25.0,undefined,undefined
Bakongo,13.0,undefined,undefined
Chokwe & Lunda,8.0,undefined,undefined
Ganguela,6.0,undefined,undefined
Nyaneka-Nkhumbi,3.0,undefined,undefined
Ovambo,2.0,undefined,undefined
Herero,1.0,undefined,undefined
Européens/Métis,2.0,undefined,undefined
Autres,3.0,undefined,undefined
