Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Bamiléké-Bamum,24.3,undefined,undefined
Béti/Bassa/Mbam,21.6,undefined,undefined
Biu-Mandara,14.6,undefined,undefined
Arab-Choa/Hausa/Kanouri,11.0,undefined,undefined
Adamawa-Ubangi,9.8,undefined,undefined
Grassfields (autres),7.7,undefined,undefined
Kako/Meka/« Pygmées »,3.3,undefined,undefined
Côtiers/Ngoe/Oroko,2.7,undefined,undefined
Bantou du Sud-Ouest,0.7,undefined,undefined
Étrangers/autres,4.5,undefined,undefined
