Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Baya,28.8,undefined,undefined
Banda,22.9,undefined,undefined
Mandjia,9.9,undefined,undefined
Sara,7.9,undefined,undefined
M’bakka-Bantou,7.9,undefined,undefined
Arabes-Peul (Fulɓe),6.0,undefined,undefined
Mbum,6.0,undefined,undefined
Ngbaka/Ngbanki,5.5,undefined,undefined
Zandé-Nzakara,3.0,undefined,undefined
Autres ethnies RCA,2.0,undefined,undefined
Non-RCA,0.1,undefined,undefined
