Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Sara (Ngambaye/Sara/Madjingaye/Mbaye),30.5,undefined,undefined
Kanembou/Bornu/Boudouma,9.8,undefined,undefined
Arabes,9.7,undefined,undefined
Wadaï/Maba/Masalit/Mimi,7.0,undefined,undefined
Goranes (Toubou),5.8,undefined,undefined
Masa/Mussey/Mousgoum,4.9,undefined,undefined
Bilala/Medogo/Kuka,3.7,undefined,undefined
Marba/Lélé/Mesme,3.5,undefined,undefined
Moundang,2.7,undefined,undefined
Bidiyo/Migaama/Kenga/Dangleat,2.5,undefined,undefined
Dadjo/Kibet/Mouro,2.4,undefined,undefined
Toupouri/Kera,2.0,undefined,undefined
Gabri/Kabalaye/Nanchéré/Somraï,2.0,undefined,undefined
Peuls/Fulɓe/Bodore,1.8,undefined,undefined
Karo/Zimé/Peve,1.3,undefined,undefined
Bagirmi/Barma,1.2,undefined,undefined
Zaghawa/Bideyat/Kobé,1.1,undefined,undefined
Tama/Assongori/Mararit,1.1,undefined,undefined
Mesmedjé/Massalat/Kadjakse,0.8,undefined,undefined
Autres ethnies tchadiennes,3.4,undefined,undefined
Tchadiens d’origines étrangères,0.9,undefined,undefined
Étrangers,0.3,undefined,undefined
Non précisé,1.7,undefined,undefined
