Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Mossi,52.0,undefined,undefined
Fulani (Peuls),8.4,undefined,undefined
Gurma,7.0,undefined,undefined
Bobo,4.9,undefined,undefined
Gurunsi,4.6,undefined,undefined
Sénoufo,4.5,undefined,undefined
Bissa,3.7,undefined,undefined
Lobi,2.4,undefined,undefined
Dagara,2.4,undefined,undefined
Touareg/Bella,1.9,undefined,undefined
Dioula,0.8,undefined,undefined
Non précisé,0.3,undefined,undefined
Autres,7.2,undefined,undefined
