Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Bambara,33.3,undefined,undefined
Fulani (Peul),13.3,undefined,undefined
Sarakolé/Soninké/Marka,9.8,undefined,undefined
Sénoufo/Minyanka,9.6,undefined,undefined
Malinké,8.8,undefined,undefined
Dogon,8.7,undefined,undefined
Sonraï,5.9,undefined,undefined
Bobo,2.1,undefined,undefined
Touareg/Bella,1.7,undefined,undefined
Autres Maliens,6.0,undefined,undefined
CEDEAO (non-Maliens),0.4,undefined,undefined
Autres,0.3,undefined,undefined
