id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes

PPL_AUSTRO_MACRO,Macro-peuple malgache austronésien,FLG_AUSTRONESIENNE,Austronésienne,"Madagascar","Ensemble de tous les peuples malgaches austronésiens (Merina, Sakalava, Betsimisaraka…)."

# ===========================================
# 1. HAUTS-PLATEAUX CENTRAUX
# ===========================================
PPL_MERINA,Merina,FLG_AUSTRONESIENNE,Austronésienne,"Madagascar (Hauts-Plateaux, Analamanga)","Groupe majoritaire ; fondateurs du royaume d’Imerina."
PPL_BETSILEO,Betsileo,FLG_AUSTRONESIENNE,Austronésienne,"Madagascar (Hautes Terres du Sud)","Agriculteurs en terrasses ; forts systèmes lignagers."

# ===========================================
# 2. CÔTES EST
# ===========================================
PPL_BETSIMISARAKA,Betsimisaraka,FLG_AUSTRONESIENNE,Austronésienne,"Côte Est (Atsinanana)","Peuple de la côte orientale ; confédération historique de Ratsimilaho."
PPL_ANTAMBAHOAKA,Antambahoaka,FLG_AUSTRONESIENNE,Austronésienne,"Mananjary (Sud-Est)","Petit groupe côtier."

# ===========================================
# 3. CÔTES OUEST & NORD-OUEST
# ===========================================
PPL_SAKALAVA,Sakalava,FLG_AUSTRONESIENNE,Austronésienne,"Ouest et Nord-Ouest de Madagascar","Ancien royaume sakalava (Boina, Menabe)."
PPL_ANTAKARANA,Antakarana,FLG_AUSTRONESIENNE,Austronésienne,"Madagascar (Nord)","Peuple austronésien islamisé du Nord."
PPL_TSIMIHETY,Tsimihety,FLG_AUSTRONESIENNE,Austronésienne,"Madagascar (Nord-Centre)","Peuple sans structure monarchique (nom signifie ‘ceux qui ne se coupent pas les cheveux’)."

# ===========================================
# 4. SUD & SUD-OUEST
# ===========================================
PPL_ANTANDROY,Antandroy,FLG_AUSTRONESIENNE,Austronésienne,"Sud (Androy)","Peuple du bush aride ; réputé pour l'élevage."
PPL_ANTSALOVA,Antsalova (Vezo-Tanosy voisins),FLG_AUSTRONESIENNE,Austronésienne,"Sud-Ouest","Petit groupe austronésien."
PPL_TANOSY,Tanosy,FLG_AUSTRONESIENNE,Austronésienne,"Sud-Est","Historiquement liés au royaume de Tanosy (Fort-Dauphin)."

# ===========================================
# 5. PEUPLES MARITIMES & PÊCHEURS
# ===========================================
PPL_VEZO,Vezo,FLG_AUSTRONESIENNE,Austronésienne,"Côte Sud-Ouest","Peuple maritime (pêche) ; identité culturelle plus que strictement ethnique."
PPL_MIKEA,Mikea,FLG_AUSTRONESIENNE,Austronésienne,"Sud-Ouest (forêts sèches)","Population semi-nomade, austronésienne et africaine mêlée."

# ===========================================
# 6. PEUPLES DU NORD / NORD-EST
# ===========================================
PPL_BEZANOZANO,Bezanozano,FLG_AUSTRONESIENNE,Austronésienne,"Centre-Est (forêts)","Peuple intermédiaire entre Merina et Betsimisaraka.
