id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes

# =======================================================
# 1. PEUPLES BANTOUS D'AFRIQUE CENTRALE (RDC - Congo - Gabon)
# =======================================================

PPL_KONGO,Kongo,FLG_BANTU,Bantou,"RDC, Congo, Angola","Un des peuples bantous les plus anciens ; plusieurs sous-groupes (Vili, Yombe...)."
PPL_LUBA,Luba,FLG_BANTU,Bantou,"RDC (Katanga, Kasaï)","Grand peuple du centre-sud de la RDC."
PPL_MONGO,Mongo,FLG_BANTU,Bantou,"RDC (Cuvette centrale)","Macro-peuple forestier (Nkundo, Mbole...)."
PPL_TEKKE,Teke,FLG_BANTU,Bantou,"Congo, RDC","Peuple de la cuvette congolaise ; royaume Tio."
PPL_KUBA,Kuba,FLG_BANTU,Bantou,"RDC (Kasaï)","Célèbre pour ses masques et son ancien royaume."
PPL_YAKA,Yaka,FLG_BANTU,Bantou,"RDC (Kwango)","Peuple bantou majeur de l’ouest RDC."
PPL_HUNDE,Hunde,FLG_BANTU,Bantou,"RDC (Nord-Kivu)","Peuple du Rift occidental."
PPL_NANDE,Nande,FLG_BANTU,Bantou,"RDC (Nord-Kivu)","Peuple du massif du Ruwenzori."
PPL_HOBA,Hoba,FLG_BANTU,Bantou,"RDC (Ituri)","Groupe forestier."
PPL_SANGO,Sango,FLG_BANTU,Bantou,"RCA (Bangui), Congo","Peuple lié à la langue véhiculaire sango."

# =======================================================
# 2. PEUPLES BANTOUS DE L’AFRIQUE DE L’OUEST BANTOUSÉE (Cameroun - Guinée équatoriale)
# =======================================================

PPL_FANG,Fang,FLG_BANTU,Bantou,"Gabon, Guinée Équatoriale, Cameroun","Macro-peuple forestier."
PPL_BETI,Béti,FLG_BANTU,Bantou,"Cameroun","Inclut Ewondo, Bulu."
PPL_EWONDO,Ewondo,FLG_BANTU,Bantou,"Cameroun (Centre)","Sous-ensemble Béti reconnu comme peuple."
PPL_BULU,Bulu,FLG_BANTU,Bantou,"Cameroun (Sud)","Voisins directs des Fang."
PPL_DUALA,Duala,FLG_BANTU,Bantou,"Cameroun (Littoral)","Commerçants littoraux."
PPL_BASSA_CAM,Bassa du Cameroun,FLG_BANTU,Bantou,"Cameroun (Littoral)","À ne pas confondre avec les Bassa du Liberia."
PPL_BAKWERI,Bakweri,FLG_BANTU,Bantou,"Cameroun (Mont Cameroun)","Peuple côtier."
PPL_WOLOF_BANTU,Fang-Ntoum-Binguelé,FLG_BANTU,Bantou,"Gabon","Peuples forestiers."

# =======================================================
# 3. PEUPLES BANTOUS D’AFRIQUE DES GRANDS LACS (Rwanda - Burundi - Ouganda)
# =======================================================

PPL_RWENDAIS_HUTU,Hutu,FLG_BANTU,Bantou,"Rwanda, Burundi","Identité historique majoritaire (bantoue)."
PPL_RWENDAIS_TUTSI,Tutsi,FLG_BANTU,Bantou,"Rwanda, Burundi","Identité tendre (pastorale) mais **linguistiquement bantoue**."
PPL_HAVU,Havu,FLG_BANTU,Bantou,"RDC (Kivu)","Peuple lacustre."
PPL_HUTU_BURUNDI,Hutu du Burundi,FLG_BANTU,Bantou,"Burundi","Identité socio-historique."
