id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes

PPL_BENOUECONGO_MACRO,Macro-peuple Bénoué-Congo,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria, Bénin, Togo, Ghana, Cameroun","Ensemble regroupant Yoruba, Igbo, Edo, Tiv, Nupe, Idoma, Ijaw et autres peuples non bantous."

# -----------------------------
# 1. PEUPLES YORUBAÏQUES
# -----------------------------
PPL_YORUBA,Yoruba,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Sud-Ouest), Bénin, Togo","Un des plus grands peuples Niger-Congo ; traditions urbaines (Ifé, Oyo)."
PPL_ITSEKIRI,Itsekiri,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Delta)","Peuple yoruba adoptant des influences edo et portugaises."
PPL_ANAGO,Anago (Yoruba de l’Ouest),FLG_BENOUECONGO,Bénoué-Congo,"Bénin (Porto-Novo), Togo","Souvent considérés comme sous-groupe yoruba, mais peuple historique distinct."

# -----------------------------
# 2. PEUPLES IGBO
# -----------------------------
PPL_IGBO,Igbo,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Sud-Est)","Très grand peuple ; traditions villageoises segmentaires."
PPL_EKPEYE,Ekpeye,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Rivers)","Proches des Igbo mais considérés comme peuple distinct."
PPL_IGALA,Igala,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Kogi)","Lien historique avec les Yoruba et les Igbo."

# -----------------------------
# 3. PEUPLES EDOÏDES
# -----------------------------
PPL_EDO,Edo/Bini,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Edo State)","Peuple du royaume historique du Bénin."
PPL_ESAN,Esan/Ishan,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Edo State)","Proches des Edo mais distincts."
PPL_AFEMAI,Afemai/Etsako,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Edo State)","Groupe edoïde du nord de l’État d’Edo."

# -----------------------------
# 4. PEUPLES IDOMA / TIV / NUPE
# -----------------------------
PPL_IDOMA,Idoma,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Benue State)","Langue idoma ; organisation segmentaire."
PPL_TIV,Tiv,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Benue), Cameroun","Un des plus grands peuples non yoruba/igbo du Nigéria."
PPL_NUPE,Nupe,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (centre), Niger State","Ancien royaume Nupe (Bida)."

# -----------------------------
# 5. PEUPLES IJOÏDES (Delta du Niger)
# -----------------------------
PPL_IJAW,Ijaw/Ijo,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Delta), Bayelsa, Rivers","Macro-peuple du delta, culture lacustre."
PPL_KALAIBARI,Kala Ibarami/Kalabari,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Rivers)","Peuple ijoïde maritime."
PPL_OGBRI,Ogbrè/Ogbia,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Bayelsa)","Groupe ijoïde important."
PPL_BILLE,Bille,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Rivers)","Peuple fluvial du delta."
PPL_NEMBE,Nembe,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Bayelsa)","Royalité nembe ; contacts historiques avec Européens."

# -----------------------------
# 6. PEUPLES CROSS-RIVER / IBIBIOÏDES
# -----------------------------
PPL_IBIBIO,Ibibio,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Akwa Ibom)","Peuple important ; langue ibibio."
PPL_EFIK,Efik,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Calabar)","Ancien rôle commercial sur la côte."
PPL_ANNANG,Annang,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Akwa Ibom)","Proches des Ibibio."
PPL_ORON,Oron,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Akwa Ibom)","Autre peuple cross-river."

# -----------------------------
# 7. PEUPLES YORUBA-CONGO Togo / Bénin
# -----------------------------
PPL_EWE,Ewe,FLG_BENOUECONGO,Bénoué-Congo,"Ghana, Togo","Peuple non yoruba mais apparenté dans la famille Bénoué-Congo."
PPL_FON,Fon,FLG_BENOUECONGO,Bénoué-Congo,"Bénin","Peuple du royaume d’Abomey."
PPL_ADJA,Adja,FLG_BENOUECONGO,Bénoué-Congo,"Togo, Bénin","Ancêtre des Fon et des Ewe."
PPL_GA,Gã,FLG_BENOUECONGO,Bénoué-Congo,"Ghana (Accra)","Peuple côtier du Ghana."
PPL_DANGME,Dangme,FLG_BENOUECONGO,Bénoué-Congo,"Ghana","Proches des Ga."

# -----------------------------
# 8. AUTRES PEUPLES BÉNOUÉ-CONGO
# -----------------------------
PPL_JUKUN,Jukun,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Taraba)","Ancien royaume Jukun (Kwararafa)."
PPL_ALAGO,Alago,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Nasarawa)","Lien culturel avec Idoma."
PPL_EBIRA,Ebira/Igbira,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Kogi)","Connu pour la culture de l’igname et le masque Ekuechi."
PPL_GBAGYI,Gbagyi/Gwari,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (centre)","Peuple agricole et artisanal."
PPL_KUTAEB,Kuteb,FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Taraba)","Peuple jukunöide."
PPL_BASSA_NIGERIA,Bassa (Nigeria),FLG_BENOUECONGO,Bénoué-Congo,"Nigeria (Plateau)","À ne pas confondre avec les Bassa du Liberia."

# -----------------------------
# 9. ENSEMBLES DE LA CEINTURE CENTRALE (non bantou)
# -----------------------------
PPL_YORUBA_DIASPORA,Yoruba de la diaspora,FLG_BENOUECONGO,Bénoué-Congo,"Afrique / Amériques","Pour les calculs démographiques globaux."
PPL_IGBO_DIASPORA,Igbo de la diaspora,FLG_BENOUECONGO,Bénoué-Congo,"Afrique / Amériques","Idem."
PPL_EWE_DIASPORA,Ewe de la diaspora,FLG_BENOUECONGO,Bénoué-Congo,"Afrique / Europe","Idem."
PPL_FON_DIASPORA,Fon de la diaspora,FLG_BENOUECONGO,Bénoué-Congo,"Afrique / Europe","Idem."
