id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes
PPL_AMAZIGH_MACRO,Macro-peuple amazigh (Berbères),FLG_BERBERE,Berbère / Amazigh,"Maghreb (Maroc, Algérie, Tunisie, Libye, Mauritanie), Sahara","Macro-ensemble englobant l’ensemble des peuples parlant des langues berbères. Terme colonial « Berbère » considéré comme problématique ; auto-appellation : Amazigh / Imazighen."
PPL_KABYLE,Kabyles / Leqbayel,FLG_BERBERE,Berbère / Amazigh,"Algérie (Kabylie, Atlas tellien)","Grand peuple amazigh d’Algérie, langue kabyle. Fort mouvement culturel et politique amazigh."
PPL_CHAOUI,Chaouis / Ishawiyen,FLG_BERBERE,Berbère / Amazigh,"Algérie (Aurès, Est algérien)","Peuple amazigh de l’Aurès, langue chaouie. Importante participation aux résistances anti-coloniales."
PPL_CHLEUH,Chleuhs / Išellḥiyen,FLG_BERBERE,Berbère / Amazigh,"Maroc (Haut Atlas, Anti-Atlas, Souss)","Grand peuple amazigh du sud marocain, langue tachelhit (chleuh)."
PPL_RIFAIN,Rifains / Imazighen du Rif,FLG_BERBERE,Berbère / Amazigh,"Maroc (Rif, nord)","Peuple amazigh du Rif, langue tarifit. Histoire de résistance (République du Rif, Abd el-Krim)."
PPL_ZENATA,Groupes zénètes (macro-groupe),FLG_BERBERE,Berbère / Amazigh,"Algérie, Maroc, Tunisie, Libye, Sahara nord-ouest","Macro-groupe historique (Zenata) englobant plusieurs tribus et confédérations amazighes nomades ou semi-nomades."
PPL_MOZABITE,Mozabites / Imazighen du Mzab,FLG_BERBERE,Berbère / Amazigh,"Algérie (vallée du Mzab)","Peuple amazigh ibadite du sud algérien, langue mozabite, forte cohésion communautaire."
PPL_TUAREG,Tuaregs / Kel Tamasheq,FLG_BERBERE,Berbère / Amazigh,"Sahara central (Mali, Niger, Algérie, Libye, Burkina Faso)","Peuple amazigh nomade, langues tamasheq/tamajaq/tamahaq. Plusieurs confédérations (Kel Ahaggar, Kel Ajjer, etc.)."
PPL_NAFUSI,Nafusi / Iznaten Nafusen,FLG_BERBERE,Berbère / Amazigh,"Libye (Djebel Nefoussa)","Peuple amazigh de Libye, langue nafusi. Région historique de résistance et d’affirmation amazighe."
PPL_SIWI,Siwi / Imazighen de Siwa,FLG_BERBERE,Berbère / Amazigh,"Égypte (oasis de Siwa)","Petit peuple amazigh d’Égypte, langue siwi, isolé à l’extrémité orientale de l’aire amazighe."
PPL_CHENOUA,Chenoua / Ičenwa,FLG_BERBERE,Berbère / Amazigh,"Algérie (Djebel Chenoua, région de Tipaza)","Petit peuple amazigh de la côte algérienne, langue chenoua."
PPL_GHOMARA,Ghomara,FLG_BERBERE,Berbère / Amazigh,"Maroc (nord-ouest du Rif)","Groupe amazigh souvent présenté comme partiellement arabisé, langue ghomari."
PPL_AIT_ATTA,Aït Atta,FLG_BERBERE,Berbère / Amazigh,"Maroc (sud-est, massif du Saghro)","Confédération tribale amazighe chleuh/zenète, nomadisme historique entre Drâa, Saghro et Tafilalet."
PPL_AIT_HDZ,Autres confédérations amazighes (Aït Yafelman, Aït Ouirra, etc.),FLG_BERBERE,Berbère / Amazigh,"Maroc (Moyen et Haut-Atlas)","Regroupe plusieurs confédérations amazighes montagnardes (Masmouda, Sanhaja, Zenata au sens historique)."
PPL_AMAZIGH_DIASPORA,Amazighs de la diaspora,FLG_BERBERE,Berbère / Amazigh,"France, Europe, Amérique du Nord","Catégorie utile pour la démographie globale (non utilisée comme entité territoriale historique)."
