id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes
PPL_SOMALI,Somali,FLG_COUCHITIQUE,Couchitique,"Somalie, Éthiopie (Ogaden), Djibouti, Kenya","Plus grand peuple couchitique. Organisation en clans (Darod, Hawiye, Dir, Isaaq…)."
PPL_OROMO,Oromo,FLG_COUCHITIQUE,Couchitique,"Éthiopie (Oromia), Kenya","Peuple majeur de la Corne de l’Afrique ; système gadaa ; langue oromo (afaan oromoo)."
PPL_AFAR,Afar,FLG_COUCHITIQUE,Couchitique,"Djibouti, Érythrée, Éthiopie","Peuple pastoraliste, langue afar."
PPL_BEJA,Beja (Béja / Hadendowa),FLG_COUCHITIQUE,Couchitique,"Soudan oriental, Érythrée, Égypte","Peuple ancien de la mer Rouge ; langue beja (bedawiyet)."
PPL_AGAW,Agaw,FLG_COUCHITIQUE,Couchitique,"Éthiopie (Amhara, Tigray, Benishangul)","Famille de peuples parlant des langues agaw (Qemant, Bilen…)."
PPL_QEMANT,Qemant,FLG_COUCHITIQUE,Couchitique,"Éthiopie (Amhara)","Peuple agaw ayant conservé des pratiques religieuses syncrétiques."
PPL_BILEN,Bilen,FLG_COUCHITIQUE,Couchitique,"Érythrée (Keren)","Peuple agaw d’Érythrée, bilinguisme bilén / tigrinya."
PPL_SIDAMA,Sidama,FLG_COUCHITIQUE,Couchitique,"Éthiopie (Sidama)","Peuple du sud éthiopien ; langue sidama (SID)."
PPL_HADIYA,Hadiya,FLG_COUCHITIQUE,Couchitique,"Éthiopie (SNNPR)","Proches linguistiquement du sidama et du libido."
PPL_LIBIDO,Libido (Maraqo),FLG_COUCHITIQUE,Couchitique,"Éthiopie (Gurage-Silté)","Peuple couchitique méridional."
PPL_KAMBATA,Kambata,FLG_COUCHITIQUE,Couchitique,"Éthiopie (SNNPR)","Peuple agricole, langue kambata."
PPL_KONSO,Konso,FLG_COUCHITIQUE,Couchitique,"Éthiopie (Konso)","Peuple en terrasses, société complexe ; langue konso."
PPL_BURJI,Burji,FLG_COUCHITIQUE,Couchitique,"Éthiopie, Kenya","Peuple bilingue (burji / oromo)."
PPL_DASANECH,Daasanach/Dasanach,FLG_COUCHITIQUE,Couchitique,"Éthiopie, Kenya, Soudan du Sud","Pasteurs nilotiques-couchitiques, langue daasanach."
PPL_ARSII,Oromo Arsi (Arsi),FLG_COUCHITIQUE,Couchitique,"Éthiopie (Arsi)","Branche culturelle des Oromo, classée peuple distinct dans certaines sources."
PPL_GABRA,Gabra,FLG_COUCHITIQUE,Couchitique,"Kenya, Éthiopie","Pasteurs chameliers bilingues (oromo/gabra)."
PPL_SILTIE,Siltie,FLG_COUCHITIQUE,Couchitique,"Éthiopie (Siltie Zone)","Proches des Hadiya ; langue siltie."
PPL_ALABA,Alaba,FLG_COUCHITIQUE,Couchitique,"Éthiopie (SNNPR)","Peuple couchitique du sud."
PPL_SEBATBET,Peuples Sebat Bet (clusters Gurage),FLG_COUCHITIQUE,Couchitique,"Éthiopie (Gurage)","Regroupe plusieurs peuples proches (Chaha, Inor…)."
