id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes

PPL_CREOLE_MACRO,Macro-peuple créole africain,FLG_CREOLE,Créole africain,"Afrique de l’Ouest, Afrique australe, Océan Indien","Ensemble des peuples parlant une langue créole africaine."

# ===========================================
# 1. CRÉOLES DE L’OCÉAN INDIEN
# ===========================================
PPL_CREOLE_MAURICE,Créoles mauriciens,FLG_CREOLE,Créole africain,"Île Maurice","Peuple créolophone issu de mélanges africains, malgaches, indiens et européens."
PPL_CREOLE_SEYCHELLES,Créoles seychellois,FLG_CREOLE,Créole africain,"Seychelles","Créole seychellois (Seselwa)."
PPL_CREOLE_REUNION,Créoles réunionnais,FLG_CREOLE,Créole africain,"La Réunion","Population créolophone issue d’un mélange africain, européen, indien, malgache."

# ===========================================
# 2. CRÉOLES DE L’AFRIQUE DE L’OUEST
# ===========================================
PPL_KRIO,Krio,FLG_CREOLE,Créole africain,"Sierra Leone (Freetown)","Peuple descendant d’esclaves affranchis (Nova Scotia Settlers, Maroons)."
PPL_FORROS,Forros (São Tomé),FLG_CREOLE,Créole africain,"Sao Tomé & Principe","Communauté créolophone issue du forro (portugais-africain)."
PPL_ANGOLAR,Angolar,FLG_CREOLE,Créole africain,"Sao Tomé","Peuple descendant d’esclaves marrons, parlant un créole distinct (Angolar)."
PPL_PAPELO,Papelo (Guinée-Bissau),FLG_CREOLE,Créole africain,"Guinée-Bissau","Communauté créolophone parlant le Krioulo."

# ===========================================
# 3. CRÉOLES DE L’AFRIQUE AUSTRALE
# ===========================================
PPL_KHOISAN_CREOLE,Coloured / Griqua (élément créole),FLG_CREOLE,Créole africain,"Afrique du Sud, Namibie","Groupes métissés (Khoekhoe, San, européens). *Non linguistiquement créoles*, mais inclus en raison du métissage systémique (AFRIK les sortira au niveau ETHNIE si nécessaire)."

# ===========================================
# 4. CRÉOLES DE L’ATLANTIQUE
# ===========================================
PPL_CREOLE_CABOVERDIEN,Capverdiens créoles,FLG_CREOLE,Créole africain,"Cap-Vert","Peuple créolophone parlant le Kriolu (variétés sotavento / barlavento)."
PPL_ANAFRO_CRIOULO,Ancestraux afro-créoles (historiques),FLG_CREOLE,Créole africain,"Côtes africaines atlantiques (historique)","Population créole formée à l’époque atlantique (désormais intégrée aux peuples nationaux)."
