id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes
PPL_GUR_MACRO,Macro-peuple gur,FLG_GUR,Gur,"Burkina Faso, Ghana, Togo, Bénin, Côte d’Ivoire","Grand ensemble incluant Mossi, Gurma, Dagomba, Dagaaba, Kassena, etc."

PPL_MOSSI,Mossi,FLG_GUR,Gur,"Burkina Faso (Plateau mossi), Ghana","Peuple dominant du Burkina Faso ; fondateurs des royaumes mossi."
PPL_DAGOMBA,Dagomba/Dagbamba,FLG_GUR,Gur,"Ghana (Nord)","Peuple fondateur du royaume du Dagbon."
PPL_MAMPRUSI,Mamprusi,FLG_GUR,Gur,"Ghana (Nord-Est), Burkina Faso","Frères historiques des Dagomba."
PPL_GURMA,Gurma/Gourma,FLG_GUR,Gur,"Burkina Faso, Niger, Bénin, Togo","Peuple transfrontalier (Gourmantché)."
PPL_KOULOUGO,Koulango (élément gur),FLG_GUR,Gur,"Côte d’Ivoire","Proches du groupe Lobi ; parfois classés Voltaïque."
PPL_LOBI,Lobi (groupe gur),FLG_GUR,Gur,"Burkina Faso, Côte d’Ivoire, Ghana","Culture ancienne ; territoire de la boucle du Mouhoun."
PPL_DAGARA,Dagara/Dagaaba,FLG_GUR,Gur,"Burkina Faso, Ghana","Proches des Lobi ; grands systèmes initiatiques."
PPL_FRAFRA,Frafra/Gurensi,FLG_GUR,Gur,"Ghana (Upper East)","Peuple gur parlant le farefare."
PPL_KASEENA,Kassena,FLG_GUR,Gur,"Burkina Faso, Ghana","Peuple artistique (peintures de Tiébélé)."
PPL_NANKANA,Nankana/Nankani,FLG_GUR,Gur,"Ghana (Upper East)","Peuple gur agricole."
PPL_BUSSA,Bissa/Bisa,FLG_GUR,Gur,"Burkina Faso, Ghana, Togo","Agriculteurs, caste de forgerons importante."
PPL_BWABA,Bwa/Bwaba,FLG_GUR,Gur,"Burkina Faso (Boucle du Mouhoun)","Masques bwa connus en Afrique de l’Ouest."
PPL_TAAL,Talom/Talomsi,FLG_GUR,Gur,"Burkina Faso","Petit groupe gur local."
PPL_KONKOMBA,Konkomba,FLG_GUR,Gur,"Ghana, Togo","Importante population transfrontalière."
PPL_SENUFO,Sénoufo (élément gur),FLG_GUR,Gur,"Côte d’Ivoire, Mali, Burkina Faso","Classés parfois Voltaïques, parfois Gur ; traités comme Gur dans le projet AFRIK."

PPL_NABT,Nabit,FLG_GUR,Gur,"Ghana (Upper East)","Peuple proche des Frafra."
PPL_TALENSI,Talensi,FLG_GUR,Gur,"Ghana","Fameux pour les traditions initiatiques (Tongo Hills)."
PPL_WIYANA,Wiyã/Weeya,FLG_GUR,Gur,"Ghana","Petite communauté gur."
PPL_KUSASI,Kusasi,FLG_GUR,Gur,"Ghana, Burkina Faso","Peuple de Bawku et environ."
