id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes

PPL_KHOE_MACRO,Macro-peuple Khoekhoe,FLG_KHOE,Khoe,"Namibie, Botswana, Afrique du Sud","Ensemble des peuples khoekhoe et certains anciens San khoéisés."

# ===========================================
# 1. PEUPLES KHOEKHOE (Pastoraux)
# ===========================================
PPL_NAMA,Nama,FLG_KHOE,Khoe,"Namibie (Sud), Afrique du Sud","Peuple khoekhoe majeur ; langue nama/ khoekhoegowab."
PPL_GONA,Khoekhoen (Gona),FLG_KHOE,Khoe,"Afrique du Sud (historique)","Peuples khoekhoen historiques, très dispersés."
PPL_DAMARA,Damara,FLG_KHOE,Khoe,"Namibie (Nord-Centre)","Peuple khoekhoe mais culturellement distinct ; bilingue nama/otjiherero."
PPL_HAIOM,Haiǁom,FLG_KHOE,Khoe,"Namibie (Etosha)","Peuple anciennement San, aujourd’hui classé Khoe dans AFRIK par langue (haiǁom)."
PPL_KHAINAI,Khainai,FLG_KHOE,Khoe,"Namibie","Petit groupe khoekhoe."

# ===========================================
# 2. GROUPES KHOE DE BOTSWANA
# ===========================================
PPL_KGALAGADI,Kgalagadi,FLG_KHOE,Khoe,"Botswana (Kalahari)","Groupes khoe pastoralistes."
PPL_SHUA,Shua,FLG_KHOE,Khoe,"Botswana","Parfois mélangés avec des groupes basarwa."
PPL_TSHUWA,Tshwa,Tshua,FLG_KHOE,Khoe,"Botswana (Nord-Est)","Peuple minoritaire."

# ===========================================
# 3. AUTRES PETITS GROUPES KHOE
# ===========================================
PPL_KWADI,Kwadi (historique),FLG_KHOE,Khoe,"Angola (Sud-Ouest, éteint)","Ancien peuple khoe disparu ; langue kwadi éteinte."
PPL_KXOE,Kxoe/Khwe (khoéanisé),FLG_KHOE,Khoe,"Namibie, Angola, Botswana","Peuple anciennement San, classé ici pour AFRIK par structure linguistique."
