id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes
PPL_KROU_MACRO,Macro-peuple krou,FLG_KROU,Krou,"Côte d’Ivoire (sud-ouest), Liberia (est)","Grand ensemble comprenant Bété, Wè/Guéré, Dida, Kroumen, Nyabwa, Bakwe…"

PPL_KRU,Kru,FLG_KROU,Krou,"Liberia (côte sud-est)","Peuple marin et commerçant ; ethnonyme ayant donné le nom de la famille linguistique."
PPL_KROUMEN,Kroumen,FLG_KROU,Krou,"Côte d’Ivoire (San-Pédro), Liberia","Historiquement recrutés comme marins par les Européens."
PPL_BETE,Bété,FLG_KROU,Krou,"Côte d’Ivoire (Goh, Loh-Djiboua)","Peuple important du centre-ouest ; plusieurs sous-groupes."
PPL_WE,Guéré/Wè,FLG_KROU,Krou,"Côte d’Ivoire (Tonkaï), Liberia","Peuple forestier, traditions masquées (Zaouli voisin)."
PPL_DIDA,Dida,FLG_KROU,Krou,"Côte d’Ivoire (Lakota, Divo)","Langue dida ; richesse musicale."
PPL_NYABWA,Nyabwa,FLG_KROU,Krou,"Côte d’Ivoire (Guémon, Cavally)","Peuple voisin des Wè."
PPL_BAKWE,Bakwé,FLG_KROU,Krou,"Côte d’Ivoire (Fresco, Sassandra)","Petite communauté côtière."
PPL_GODIE,Godié,FLG_KROU,Krou,"Côte d’Ivoire (Sassandra)","Peuple krou dialectalement proche du Dida."
PPL_KLAO,Klao/Krao,FLG_KROU,Krou,"Liberia (Grand Kru)","Sous-ensemble kru du Liberia."
PPL_GREBO,Grebo,FLG_KROU,Krou,"Liberia (sud-est)","Importants réseaux de chefferies traditionnelles."
PPL_GBODJIBO,Gbodi,FLG_KROU,Krou,"Côte d’Ivoire","Petit peuple krou, peu documenté."
PPL_KOUYA,Kouya,FLG_KROU,Krou,"Côte d’Ivoire (Ouest)","Langue kouya ; proches des Bété."
PPL_WANE,Wané/Ouané,FLG_KROU,Krou,"Côte d’Ivoire (ouest-sud-ouest)","Petite communauté krou."
PPL_TAIZI,Taïzi,FLG_KROU,Krou,"Côte d’Ivoire (parc de Taï)","Très petite population forestière, langue isolée dans le groupe krou."
