id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes

PPL_KXA_MACRO,Macro-peuple Kx’a,FLG_KXA,Kx’a,"Namibie, Angola, Botswana","Groupes khoïsans chasseurs-cueilleurs parlant des langues Kx’a."

# ===========================================
# 1. PEUPLE JU|'HOANSI / ǃKUNG
# ===========================================
PPL_JUHOANSI,Ju|’hoansi,FLG_KXA,Kx’a,"Namibie (Nord-Est), Botswana","Peuple principal du Kalahari ; connus comme “ǃKung” dans la littérature."
PPL_KUNG,ǃKung (historique),FLG_KXA,Kx’a,"Namibie, Angola, Botswana","Nom ancien et externe pour les Ju|’hoansi ; terme aujourd’hui considéré comme approximatif."

# ===========================================
# 2. PEUPLES ǂHÕA / KHWE DU NORD
# ===========================================
PPL_HOA,ǂHõa,FLG_KXA,Kx’a,"Namibie (Otjozondjupa)","Peuple parlant une langue Kx’a ; petit groupe peu documenté."

# ===========================================
# 3. GROUPES MIXTES OU AFFILIÉS
# ===========================================
PPL_BUGAKWE,Buga-kwe (groupe mixte),FLG_KXA,Kx’a,"Botswana, Namibie","Peuple minoritaire souvent classé avec les Ju|’hoansi."
PPL_TSAO_KXA,Tsao (élément Kx’a),FLG_KXA,Kx’a,"Botswana (Okavango)","Groupe assimilé linguistiquement au Kx’a dans certaines sources."
