id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes
PPL_MANDE_MACRO,Macro-peuple mandé,FLG_MANDE,Mandé,"Afrique de l’Ouest (Mali, Guinée, Sénégal, Côte d’Ivoire, Burkina, Gambie)","Grand ensemble comprenant Mandingue, Soninké, Bambara, Malinké, Susu, Bobo, etc."

PPL_MANDINGUE,Mandingue (Mande de l’Ouest),FLG_MANDE,Mandé,"Mali, Guinée, Gambie, Sénégal, Côte d’Ivoire","Inclut plusieurs sous-peuples : Mandinka, Marka, Dyula."
PPL_BAMBARA,Bambara (Bamanan),FLG_MANDE,Mandé,"Mali (principal), Burkina Faso","Groupe central de l’espace mandingue ; langue bamanankan."
PPL_MALINKE,Malinké,FLG_MANDE,Mandé,"Guinée, Mali, Côte d’Ivoire, Sénégal","Peuple fondateur des anciens empires mandingues."
PPL_SUSU,Susu/Soussou,FLG_MANDE,Mandé,"Guinée (Basse-Guinée)","Proches linguistiquement des Malinké."
PPL_DYULA,Dyula/Dioula,FLG_MANDE,Mandé,"Côte d’Ivoire, Burkina Faso, Mali","Importants réseaux marchands ; langue dioula."
PPL_SONINKE,Soninké/Sarakolé,FLG_MANDE,Mandé,"Mali, Mauritanie, Sénégal, Gambie","Peuple fondateur de l’empire du Ghana."
PPL_MARAKA,Maraka/Marka,FLG_MANDE,Mandé,"Mali, Burkina Faso","Sous-groupe mandingue marchand."
PPL_JAHANKA,Jahanka,FLG_MANDE,Mandé,"Guinée, Mali, Sénégal","Lignages religieux mandingues."
PPL_BOSO,Boso/Bozo,FLG_MANDE,Mandé,"Mali (Niger intérieur)","Peuple de pêcheurs du delta intérieur du Niger."
PPL_BOBO,Bobo-Madare/Bobo,FLG_MANDE,Mandé,"Burkina Faso, Mali","Groupe agricole et rituel."
PPL_LOBI,Lobi,FLG_MANDE,Mandé,"Burkina Faso, Côte d’Ivoire, Ghana","Ensemble culturel du sud-ouest du Burkina."
PPL_DAFING,Dafing,FLG_MANDE,Mandé,"Burkina Faso","Proches des Marka/Maraka ; islamisés tôt."
PPL_KPANA,Kpana,FLG_MANDE,Mandé,"Sierra Leone","Groupe mandé méridional."
PPL_KONO,Kono,FLG_MANDE,Mandé,"Sierra Leone","Peuple mandé du sud-est du pays."
PPL_MENDE,Mende,FLG_MANDE,Mandé,"Sierra Leone","Un des peuples majeurs de Sierra Leone ; langue mendé."
PPL_VAI,Vai,FLG_MANDE,Mandé,"Liberia, Sierra Leone","Inventeurs de l’écriture Vai (syllabaire)."
PPL_KPELLE,Kpelle,FLG_MANDE,Mandé,"Liberia, Guinée","Peuple majoritaire au Liberia."
PPL_BASSA,Bassa (élément mandé),FLG_MANDE,Mandé,"Liberia","Proches des Kpelle et Mende."
PPL_GBELE,Gbale/Gbélé,FLG_MANDE,Mandé,"Liberia, Guinée","Petit peuple mandé."
