id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes

PPL_NILOTIQUE_MACRO,Macro-peuple nilotique,FLG_NILOTIQUE,Nilotique,"Soudan du Sud, Soudan, Kenya, Ouganda, Tanzanie, Éthiopie","Ensemble comprenant Dinka, Nuer, Luo, Maasai, etc."

# ===========================================
# 1. NILOTIQUE OCCIDENTAL (Sudan / South Sudan)
# ===========================================
PPL_DINKA,Dinka,FLG_NILOTIQUE,Nilotique,"Soudan du Sud (Bahr el Ghazal, Jonglei, Upper Nile)","Plus grand peuple nilotique."
PPL_NUER,Nuer,FLG_NILOTIQUE,Nilotique,"Soudan du Sud, Éthiopie (Gambella)","Grand peuple pastoral nilotique."
PPL_SHILLUK,Shilluk/Collo,FLG_NILOTIQUE,Nilotique,"Soudan du Sud (Upper Nile)","Ancien royaume shilluk."
PPL_ANUAK,Anyuak/Anuak,FLG_NILOTIQUE,Nilotique,"Éthiopie (Gambella), Soudan du Sud","Groupe fluvial du Baro."
PPL_MABAN,Maban,FLG_NILOTIQUE,Nilotique,"Soudan du Sud (Upper Nile)","Petit peuple nilotique occidental."
PPL_LUO_PAGU,Pari,FLG_NILOTIQUE,Nilotique,"Soudan du Sud","Petit peuple nilotique."

# ===========================================
# 2. NILOTIQUE CENTRAL (Uganda / South Sudan)
# ===========================================
PPL_ACHOLI,Acholi,FLG_NILOTIQUE,Nilotique,"Ouganda (Nord), Soudan du Sud","Peuple luo ; musique bwola."
PPL_LANGO,Lango,FLG_NILOTIQUE,Nilotique,"Ouganda","Nilotiques central orientés agriculture."
PPL_ALUR,Alur,FLG_NILOTIQUE,Nilotique,"Ouganda, RDC (Ituri)","Peuple transfrontalier."
PPL_KUMAM,Kumam,FLG_NILOTIQUE,Nilotique,"Ouganda (Est)","Proches des Lango."
PPL_JOPADHOLA,Adhola/Badha,FLG_NILOTIQUE,Nilotique,"Ouganda (Est)","Peuple luo déplacé anciennement."
PPL_JIE,Jie,FLG_NILOTIQUE,Nilotique,"Ouganda (Karamoja)","Pastoralistes proches des Turkana."

# ===========================================
# 3. NILOTIQUE ORIENTAL (Kenya / Tanzania / Ethiopia)
# ===========================================
PPL_MAASAI,Maasai,FLG_NILOTIQUE,Nilotique,"Kenya, Tanzanie","Peuple pastoral emblématique."
PPL_TURKANA,Turkana,FLG_NILOTIQUE,Nilotique,"Kenya (Nord-Ouest)","Grand peuple pastoral du Rift."
PPL_SAMBURU,Samburu,FLG_NILOTIQUE,Nilotique,"Kenya (Nord)","Proches des Maasai (Maa)."
PPL_RENDILLE,Rendille,FLG_NILOTIQUE,Nilotique,"Kenya (Nord)","Certains linguistes les classent couchitique ; projet AFRIK les rattache nilotiques orientaux."
PPL_EL_MOLO,El Molo,FLG_NILOTIQUE,Nilotique,"Kenya (lac Turkana)","Très petite population."
PPL_DATOGA,Datoga/Tatoga,FLG_NILOTIQUE,Nilotique,"Tanzanie (Manyara)","Langue nilotique méridionale."
PPL_KARAMOJONG,Karamojong,FLG_NILOTIQUE,Nilotique,"Ouganda (Karamoja)","Proches des Jie et Turkana."
PPL_TOPOSA,Toposa,FLG_NILOTIQUE,Nilotique,"Soudan du Sud (Kapoeta)","Proches des Turkana."
PPL_MURLE,Murle,FLG_NILOTIQUE,Nilotique,"Soudan du Sud (Pibor)","Peuple pastoral ; relations historiques conflictuelles."
PPL_JIE_SUD,Jie du Sud,FLG_NILOTIQUE,Nilotique,"Soudan du Sud","Petite communauté."
PPL_SURMANuer),Surma/Surmic (élément nilotique),FLG_NILOTIQUE,Nilotique,"Éthiopie (Omo), Soudan du Sud","Certains Surmic sont nilotiques dans certaines classifications."
