id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes
PPL_OMOTIQUE_MACRO,Macro-peuple omotique,FLG_OMOTIQUE,Omotique,"Éthiopie (Sud-Ouest)","Macro-ensemble de peuples omotiques ; non utilisé directement pour les fiches pays, mais utile pour regroupement."
PPL_WOLAYTA,Wolayta/ Wolaita,FLG_OMOTIQUE,Omotique,"Éthiopie (Wolayta Zone)","Peuple majeur omotique ; langue wolaytta."
PPL_GAMO,Gamo,FLG_OMOTIQUE,Omotique,"Éthiopie (Gamo Zone)","Culture riche, systèmes coutumiers ; langue gamo."
PPL_GEDEO,Gedeo,FLG_OMOTIQUE,Omotique,"Éthiopie (Gedeo Zone)","Peuple agricole (café), langue gedeo."
PPL_BENCH,Bench (Benč),FLG_OMOTIQUE,Omotique,"Éthiopie (Bench-Sheko)","Groupe montagnard, langue bench (benchnon)."
PPL_DIZI,Dizi,FLG_OMOTIQUE,Omotique,"Éthiopie (Dizi Zone)","Petit peuple omotique ; marginalisé historiquement."
PPL_SHEKO,Sheko,FLG_OMOTIQUE,Omotique,"Éthiopie (Bench-Sheko)","Proche des Bench, langue sheko."
PPL_KOYRA,Koyra/Kore,FLG_OMOTIQUE,Omotique,"Éthiopie (Gamo-Gofa)","Groupe omotique méridional."
PPL_DAWRO,Dawro,FLG_OMOTIQUE,Omotique,"Éthiopie (Dawro Zone)","Peuple agricole, langue dawro."
PPL_MALLE,Malle,FLG_OMOTIQUE,Omotique,"Éthiopie (South Omo)","Peuple omotique dans une zone multi-ethnique (avec peuples nilotiques)."
PPL_AARI,Aari,FLG_OMOTIQUE,Omotique,"Éthiopie (South Omo)","Langue aari ; traditions culturelles particulières."
PPL_KAFA,Kafa (Kaffa),FLG_OMOTIQUE,Omotique,"Éthiopie (Kaffa Zone)","Peuple de la région « berceau du café ». Langue kafecho (omotique)."
PPL_MEEN,Me’en/Me’enit,FLG_OMOTIQUE,Omotique,"Éthiopie (Bench-Sheko, South Omo)","Peuple omotique parfois lié aux Surmic (débat de classification)."
PPL_BASKETO,Basketo,FLG_OMOTIQUE,Omotique,"Éthiopie (Basketo)","Peuple agricole, langue basketo."
PPL_KOORETE,Koorete/Koréte,FLG_OMOTIQUE,Omotique,"Éthiopie (Dawro-Konso)","Peuple omotique, langue koorete."
PPL_MAATS,Maats (Mats),FLG_OMOTIQUE,Omotique,"Éthiopie (South-West)","Petit peuple omotique rarement documenté."
PPL_DIMME,Dimme,FLG_OMOTIQUE,Omotique,"Éthiopie (South-West)","Peuple probablement omotique ; peu documenté."
