id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes

PPL_SAHARIEN_MACRO,Macro-peuple saharien,FLG_SAHARIEN,Saharien,"Tchad, Niger, Libye, Soudan","Regroupe Kanuri, Toubou, Zaghawa, Kanembu, Bideyat."

# ============================
# 1. PEUPLES TOUBOU
# ============================
PPL_TOUBOU,Toubou,FLG_SAHARIEN,Saharien,"Tchad, Niger, Libye","Grand peuple saharien pastoral."
PPL_TEDA,Teda,FLG_SAHARIEN,Saharien,"Tchad (Tibesti), Libye","Branche nord des Toubou."
PPL_DAZA,Daza,FLG_SAHARIEN,Saharien,"Tchad (Borkou, Kanem), Niger","Branche sud des Toubou."
PPL_BIDEYAT,Bideyat/Bideya,FLG_SAHARIEN,Saharien,"Tchad, Soudan","Proches des Zaghawa, parfois considérés comme sous-groupe toubou."

# ============================
# 2. PEUPLES KANEMBU / KANURI
# ============================
PPL_KANURI,Kanuri,FLG_SAHARIEN,Saharien,"Nigeria (Borno), Niger, Tchad","Peuple du Kanem-Bornou ; grande histoire impériale."
PPL_KANEMBU,Kanembu,FLG_SAHARIEN,Saharien,"Tchad (Kanem)","Proches des Kanuri ; cœur de l’empire du Kanem."
PPL_BUDUMA,Buduma/Yedina,FLG_SAHARIEN,Saharien,"Tchad (lac Tchad), Niger","Peuple lacustre du Tchad ; langue saharienne."

# ============================
# 3. PEUPLES ZAGHAWA / DARFUR
# ============================
PPL_ZAGHAWA,Zaghawa,FLG_SAHARIEN,Saharien,"Tchad (Ennedi, Wadi Fira), Soudan (Darfour)","Grand peuple saharien transfrontalier."
PPL_BERI,Beri (autonyme des Zaghawa),FLG_SAHARIEN,Saharien,"Tchad, Soudan","Autonyme utilisé par les Zaghawa eux-mêmes."

# ============================
# 4. AUTRES GROUPES SAHARIENS
# ============================
PPL_KREDA,Kreda,FLG_SAHARIEN,Saharien,"Tchad (Kanem)","Groupe saharien pastoral."
PPL_YERIMA,Yerima,FLG_SAHARIEN,Saharien,"Tchad","Petit groupe saharien peu documenté."
