id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes

PPL_SONGHAY_MACRO,Macro-peuple songhay,FLG_SONGHAY,Songhay,"Mali, Niger, Burkina Faso, Bénin","Macro-groupe issu des anciens royaumes et de l’Empire songhay."

# ============================
# 1. SONGHAY DU NORD (MALI)
# ============================
PPL_KOYRA_CHIINI,Songhay de Gao (Koyra Chiini),FLG_SONGHAY,Songhay,"Mali (Gao, Tombouctou)","Peuple du centre historique de l’ancien Empire songhay."
PPL_KOYRA_BORO_SEYO,Koyra boro seyo,FLG_SONGHAY,Songhay,"Mali (Niger intérieur)","Groupes songhay du fleuve Niger."

# ============================
# 2. SONGHAY DU NIGER (ZARMAS / DJERMAS)
# ============================
PPL_ZARMA,Zarma/Djerma,FLG_SONGHAY,Songhay,"Niger (Tillabéri, Niamey), Mali","Plus grand peuple songhay actuel."
PPL_SONGHAY_NIGERIEN,Songhay nigériens,FLG_SONGHAY,Songhay,"Niger (Nord, Est)","Groupes songhay divers du Niger."

# ============================
# 3. SONGHAY DE L’EST (BURKINA FASO, BENIN)
# ============================
PPL_SONGHAY_GURMA,Songhay-Gurma (mixtes),FLG_SONGHAY,Songhay,"Burkina Faso (Gorom-Gorom), Bénin","Mélanges anciens entre populations songhay et gurma."
PPL_DENDI,Dendi,FLG_SONGHAY,Songhay,"Bénin (Alibori), Niger (Gaya), Nigeria","Peuple frontalier commerçant ; langue dendi, proche du songhay."

# ============================
# 4. GROUPES RIVERAINS & MARCHANDS
# ============================
PPL_KURTEY,Kurthey/Kurtey,FLG_SONGHAY,Songhay,"Niger (fleuve Niger)","Peuple de pêcheurs et commerçants ; islamisation ancienne."
PPL_WOGO,Wogo,FLG_SONGHAY,Songhay,"Niger (rive du Niger)","Proches des Kurtey ; spécialisation halieutique."
