id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes

PPL_SCT_MACRO,Macro-peuple soudanique central,FLG_SOUDANIQUECENTRAL,Soudanique central,"Soudan du Sud, nord RDC, Tchad, Soudan","Ensemble comprenant Mangbetu, Zande, Moru-Madi, Bongo, Kresh, etc."

# =======================================================
# 1. ZANDE & GROUPES DU NORD-RDC
# =======================================================
PPL_ZANDE,Zande/Azande,FLG_SOUDANIQUECENTRAL,Soudanique central,"RDC (Haut-Uele), RCA, Soudan du Sud","Peuple important connu pour ses systèmes oraculaires (benge)."
PPL_MANGBETU,Mangbetu,FLG_SOUDANIQUECENTRAL,Soudanique central,"RDC (Haut-Uele, Bas-Uele)","Peuple célèbre pour les coiffures traditionnelles et la cour Mangbetu."
PPL_BARMA,Barma/Burma,FLG_SOUDANIQUECENTRAL,Soudanique central,"RDC (Uele)","Groupe proche des Mangbetu."

# =======================================================
# 2. GROUPES MORU–MADI (SUD SOUDAN / RDC / OUGANDA)
# =======================================================
PPL_MORU,Moru,FLG_SOUDANIQUECENTRAL,Soudanique central,"Soudan du Sud (Équatoria)","Peuple agricole de l'Équatoria occidental."
PPL_MADI,Madi,FLG_SOUDANIQUECENTRAL,Soudanique central,"Ouganda, Soudan du Sud","Également appelés Ma’di."
PPL_LUGBARA,Lugbara,FLG_SOUDANIQUECENTRAL,Soudanique central,"Ouganda, RDC (Aru)","Peuple transfrontalier ; culture riche."
PPL_ARINGA,Aringa,FLG_SOUDANIQUECENTRAL,Soudanique central,"Ouganda (Yumbe)","Proches des Madi."
PPL_KAKWA,Kakwa,FLG_SOUDANIQUECENTRAL,Soudanique central,"Ouganda, RDC, Soudan du Sud","Peuple nilotico-soudanique (interface)."

# =======================================================
# 3. GROUPES BONGO–BAGIRMI (SOUDAN DU SUD / SOUDAN / TCHAD)
# =======================================================
PPL_BONGO,Bongo,FLG_SOUDANIQUECENTRAL,Soudanique central,"Soudan du Sud (Bahr-el-Ghazal)","Peuple anciennement nombreux ; aujourd’hui très réduit."
PPL_BELANDA,Belanda/Balanda,FLG_SOUDANIQUECENTRAL,Soudanique central,"Soudan du Sud, RDC","Groupe mixte soudanico-nilotique."
PPL_SARA,Sara (élément sudanique),FLG_SOUDANIQUECENTRAL,Soudanique central,"Tchad (sud)","Grande population sahélienne ; classification parfois mixte mais incluse ici pour AFRIK."
PPL_SANGO_SCT,Sango (élément soudanique),FLG_SOUDANIQUECENTRAL,Soudanique central,"RCA, RDC","Langue véhiculaire de RCA ; peuple d’origine banda/soudanique."

# =======================================================
# 4. GROUPES KRESH (SOUDAN / SOUDAN DU SUD)
# =======================================================
PPL_KRESH,Kresh,FLG_SOUDANIQUECENTRAL,Soudanique central,"Soudan du Sud (Bahr-el-Ghazal)","Grand ensemble de petits peuples soudaniques."
PPL_YULI,Yulu,FLG_SOUDANIQUECENTRAL,Soudanique central,"RCA, Soudan du Sud","Proches des Kresh."
PPL_FURU,Furu,FLG_SOUDANIQUECENTRAL,Soudanique central,"Soudan du Sud","Groupe montagnard."
PPL_NDAI,Ndai,FLG_SOUDANIQUECENTRAL,Soudanique central,"Soudan du Sud","Petit groupe soudanique."

# =======================================================
# 5. GROUPES BANDA (RCA / RDC / SOUDAN)
# =======================================================
PPL_BANDA,Banda,FLG_SOUDANIQUECENTRAL,Soudanique central,"RCA (principal), RDC, Soudan du Sud","Grand peuple d’Afrique centrale ; plusieurs sous-groupes."
PPL_NGBANDE,Ngbaka Minagende/Ngbande,FLG_SOUDANIQUECENTRAL,Soudanique central,"RDC (Équateur)","Groupe proche des Banda."
PPL_AZANDE_SUD,Azande méridionaux (variantes),FLG_SOUDANIQUECENTRAL,Soudanique central,"RDC, RCA","Sous-groupes mis ensemble au niveau peuple AFRIK."
