id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes
PPL_HAUSA,Hausa,FLG_TCHADIQUE,Tchadique,"Nigeria (Nord), Niger, Tchad, Cameroun","Plus grand peuple tchadique ; langue véhiculaire majeure d’Afrique de l’Ouest ; islamisé depuis le Moyen Âge."
PPL_BADE,Bade,FLG_TCHADIQUE,Tchadique,"Nigeria (Yobe), Niger","Peuple proche des Hausa ; langue bade."
PPL_NGIZIM,Ngizim,FLG_TCHADIQUE,Tchadique,"Nigeria (Yobe)","Groupe tchadique occidental ; langue ngizim."
PPL_MANGA,Manga,FLG_TCHADIQUE,Tchadique,"Niger (région Manga)","Peuple sahélien parlant manga (groupe tchadique)."
PPL_MOBE,Mobe,FLG_TCHADIQUE,Tchadique,"Nigeria (Bornou)","Petit peuple tchadique autour du lac Tchad."
PPL_BURA,Bura,FLG_TCHADIQUE,Tchadique,"Nigeria (Borno, Adamawa)","Civilisation antique de Bura-Ngambay ; art et métallurgie reconnus."
PPL_MARGI,Marghi/Margi,FLG_TCHADIQUE,Tchadique,"Nigeria (Borno), Cameroun","Peuple tchadique important lié aux anciens royaumes du Bornou."
PPL_BOLIWA,Bolewa,FLG_TCHADIQUE,Tchadique,"Nigeria (Gombe)","Peuple montagnard tchadique (Bolewa)."
PPL_KERA,Kera/Kera-Kera,FLG_TCHADIQUE,Tchadique,"Tchad (sud-ouest)","Peuple tchadique du sud-ouest du Tchad."
PPL_SOKORO,Sokoro,FLG_TCHADIQUE,Tchadique,"Tchad (Guéra)","Population tchadique centrale ; langue sokoro."
PPL_KENGA,Kenga,FLG_TCHADIQUE,Tchadique,"Tchad (Guéra)","Proche des Sokoro ; langue kenga."
PPL_BIDYOGO,Bidyogo (tchadique),FLG_TCHADIQUE,Tchadique,"Tchad (Guéra)","Parfois classé avec Sokoro/Kenga."
PPL_KERA_DIASPORA,Kera de la diaspora,FLG_TCHADIQUE,Tchadique,"Tchad / diaspora","Catégorie statistique (pas un peuple historique)."
PPL_MUSGU,Musgum/Mousgoum,FLG_TCHADIQUE,Tchadique,"Tchad (Logone), Cameroun (Extrême-Nord)","Peuple tchadique reconnu ; architecture en cases coniques."
PPL_LAGWAN,Lagwan/Logone,FLG_TCHADIQUE,Tchadique,"Cameroun, Tchad","Proches des Musgum."
PPL_MASA,Masa/Mussey,FLG_TCHADIQUE,Tchadique,"Cameroun, Tchad","Peuple sahélien ; langue masa."
PPL_MBOGO,Mbuko/Mbogo,FLG_TCHADIQUE,Tchadique,"Cameroun (monts Mandara)","Petit peuple des monts Mandara."
PPL_GUWA,Guwi/Guwo,FLG_TCHADIQUE,Tchadique,"Nigéria (Bornou)","Peuple tchadique occidental."
PPL_GWANDARA,Gwandara,FLG_TCHADIQUE,Tchadique,"Nigeria (Nassarawa)","Parfois considéré comme un sous-groupe hausa indépendant."
PPL_BABUR,Babur/Bura-Babur,FLG_TCHADIQUE,Tchadique,"Nigeria (Borno)","Proche des Bura."
PPL_JARAWA,Jarawa (tchadique),FLG_TCHADIQUE,Tchadique,"Nigeria (Bauchi)","Petit peuple ; à ne pas confondre avec les Jarawa andamanais."
PPL_TERA,Tera,FLG_TCHADIQUE,Tchadique,"Nigeria (Borno)","Peuple tchadique lié aux anciennes chefferies mandara."
PPL_PODOKO,Podoko,FLG_TCHADIQUE,Tchadique,"Cameroun (monts Mandara)","Groupe montagnard."
PPL_GIZIGA,Giziga,FLG_TCHADIQUE,Tchadique,"Cameroun (Extrême-Nord)","Proches des Mofu et des Musgum."
PPL_MOFU,Mofu,FLG_TCHADIQUE,Tchadique,"Cameroun (monts Mandara)","Ensemble de sous-groupes montagnards."
