id_peuple,nom_peuple,id_famille_linguistique,nom_famille_linguistique,region_principale,notes

PPL_TUU_MACRO,Macro-peuple Tuu,FLG_TUU,Tuu,"Botswana, Afrique du Sud, Namibie","Ensemble des peuples parlant des langues Tuu (anciennement ‘Southern Khoisan’)."

# ===========================================
# 1. PEUPLE ǃXÓÕ / TAA (le plus important)
# ===========================================
PPL_TAA,ǃXóõ / Taa,FLG_TUU,Tuu,"Botswana (Kalahari), Namibie","Peuple principal Tuu ; langue à inventaire phonétique exceptionnel."
PPL_WEST_TAA,West Taa / Gǀui,FLG_TUU,Tuu,"Botswana","Groupe occidental parlant des variétés de Taa."

# ===========================================
# 2. PEUPLES N|UU / ǀXAM (Afrique du Sud)
# ===========================================
PPL_NUU,N|uu,FLG_TUU,Tuu,"Afrique du Sud (Northern Cape)","Survivants actuels du groupe Tuu ; langue revitalisée."
PPL_XAM,ǀXam (historique),FLG_TUU,Tuu,"Afrique du Sud","Peuple éteint ou quasi éteint ; langue largement documentée par les Bleek."

# ===========================================
# 3. AUTRES GROUPES TUU RARES
# ===========================================
PPL_KATIA,Kakia/Katiais,FLG_TUU,Tuu,"Botswana","Petits groupes associés linguistiquement à Taa."
PPL_GHOWA,Gǁhowa,FLG_TUU,Tuu,"Namibie, Botswana","Groupe Tuu mal documenté."
