Country,population 2025 du pays,Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l’ethnie estimée dans le pays,pourcentage dans la population totale d’Afrique
Afrique du Sud,61199836,Africains noirs (tous groupes),80.9,49510667.0,3.239648
Afrique du Sud,61199836,Métis (Coloured),8.8,5385586.0,0.352397
Afrique du Sud,61199836,Blancs,7.8,4773587.0,0.312352
Afrique du Sud,61199836,Asiatiques/Indiens,2.5,1529996.0,0.100113
Afrique du Sud,61199836,Zoulou (sous-groupe),,,
Afrique du Sud,61199836,Xhosa (sous-groupe),,,
Afrique du Sud,61199836,Basotho (sous-groupe),,,
Afrique du Sud,61199836,Bapedi (sous-groupe),,,
Afrique du Sud,61199836,Tswana (sous-groupe),,,
Afrique du Sud,61199836,Tsonga (sous-groupe),,,
Afrique du Sud,61199836,Swazi (sous-groupe),,,
Afrique du Sud,61199836,Venda (sous-groupe),,,
Afrique du Sud,61199836,Ndebele (sous-groupe),,,
Angola,37731858,Ovimbundu,37.0,13960787.0,0.913501
Angola,37731858,Ambundu (Mbundu),25.0,9432964.0,0.61723
Angola,37731858,Bakongo,13.0,4905142.0,0.32096
Angola,37731858,Chokwe & Lunda,8.0,3018549.0,0.197514
Angola,37731858,Ganguela,6.0,2263911.0,0.148135
Angola,37731858,Nyaneka-Nkhumbi,3.0,1131956.0,0.074068
Angola,37731858,Ovambo,2.0,754637.0,0.049378
Angola,37731858,Herero,1.0,377319.0,0.024689
Angola,37731858,Européens/Métis,2.0,754637.0,0.049378
Angola,37731858,Autres,3.0,1131956.0,0.074068
Namibie,2759142,Ovambo,50.0,1379571.0,0.09027
Namibie,2759142,Kavango,9.0,248323.0,0.016249
Namibie,2759142,Herero,7.0,193140.0,0.012638
Namibie,2759142,Damara,7.0,193140.0,0.012638
Namibie,2759142,Nama,5.0,137957.0,0.009027
Namibie,2759142,Caprivien (Lozi),4.0,110366.0,0.007222
Namibie,2759142,Blancs,6.0,165549.0,0.010832
Namibie,2759142,San (Bochimans),3.0,82774.0,0.005416
Namibie,2759142,Autres,9.0,248323.0,0.016249
Botswana,2881074,Tswana,79.0,2276048.0,0.148929
Botswana,2881074,Kalanga,11.0,316918.0,0.020737
Botswana,2881074,Basarwa/San,3.0,86432.0,0.005656
Botswana,2881074,Kgalagadi,2.0,57621.0,0.00377
Botswana,2881074,Autres Bantous,3.0,86432.0,0.005656
Botswana,2881074,Européens & métis,2.0,57621.0,0.00377
Zimbabwe,17364547,Shona,82.0,14238929.0,0.931701
Zimbabwe,17364547,Ndebele,14.0,2431037.0,0.159071
Zimbabwe,17364547,"Autres Bantous (Venda, Tonga, Kalanga)",2.0,347291.0,0.022724
Zimbabwe,17364547,Européens/Asiatiques/Métis,1.0,173645.0,0.011362
Zimbabwe,17364547,Autres,1.0,173645.0,0.011362
Zambie,21815066,Bemba,21.0,4581164.0,0.299761
Zambie,21815066,Tonga,13.0,2835959.0,0.185566
Zambie,21815066,Chewa,7.0,1527055.0,0.09992
Zambie,21815066,Lozi,6.0,1308904.0,0.085646
Zambie,21815066,Nsenga,5.0,1090753.0,0.071372
Zambie,21815066,Tumbuka,4.0,872603.0,0.057097
Zambie,21815066,Lunda,3.0,654452.0,0.042823
Zambie,21815066,Luvale,2.0,436301.0,0.028549
Zambie,21815066,Kaonde,2.0,436301.0,0.028549
Zambie,21815066,Ngoni,2.0,436301.0,0.028549
Zambie,21815066,Autres,35.0,7635273.0,0.499601
Lesotho,2423890,Basotho (Sotho),99.7,2416618.0,0.158127
Lesotho,2423890,"Européens, Asiatiques, autres",0.3,7272.0,0.000476
Eswatini,1231953,Swazi (Nguni),97.0,1194994.0,0.078192
Eswatini,1231953,Zoulous et autres Nguni,2.0,24639.0,0.001612
Eswatini,1231953,Européens,1.0,12320.0,0.000806
