Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Bamiléké-Bamum,24.3,7260679.0,0.47509
Béti/Bassa/Mbam,21.6,6453937.0,0.422303
Biu-Mandara,14.6,4362383.0,0.285445
Arab-Choa/Hausa/Kanouri,11.0,3286727.0,0.215062
Adamawa-Ubangi,9.8,2928175.0,0.1916
Grassfields (autres),7.7,2300709.0,0.150543
Kako/Meka/« Pygmées »,3.3,986018.0,0.064518
Côtiers/Ngoe/Oroko,2.7,806742.0,0.052788
Bantou du Sud-Ouest,0.7,209155.0,0.013686
Étrangers/autres,4.5,1344570.0,0.08798
