Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Kongo (Bakongo),40.5,2626197.0,0.171841
Téké,16.9,1095870.0,0.071706
Mbochi,13.1,849461.0,0.055583
Étrangers,8.2,531724.0,0.034792
Sangha,5.6,363128.0,0.023761
Mbere/Mbeti/Kélé,4.4,285315.0,0.018669
Punu,4.3,278831.0,0.018245
Pygmées,1.6,103751.0,0.006789
Oubangiens,1.6,103751.0,0.006789
Duma,1.5,97267.0,0.006365
Makaa,1.3,84298.0,0.005516
Autres/NS,1.0,64844.0,0.004243
