Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Fang,23.2,601606.0,0.039365
Shira-Punu/Vili,18.9,490102.0,0.032069
Nzabi-Duma,11.3,293024.0,0.019174
Mbede-Téké,6.9,178926.0,0.011708
Myéné,5.0,129656.0,0.008484
Kota-Kélé,4.9,127063.0,0.008314
Okandé-Tsogo,2.1,54456.0,0.003563
Pygmées,0.3,7779.0,0.000509
Autres (Gabonais de naissance),7.5,194485.0,0.012726
Camerounais (immigrés),4.6,119284.0,0.007805
Maliens (immigrés),2.4,62235.0,0.004072
Béninois (immigrés),2.1,54456.0,0.003563
Naturalisés gabonais,1.6,41490.0,0.002715
Togolais (immigrés),1.6,41490.0,0.002715
Sénégalais (immigrés),1.1,28524.0,0.001866
"Congolais (RCB, immigrés)",1.0,25931.0,0.001697
"Autres immigrés (RDC, Eq. Guinée, Nigéria…)",5.5,142622.0,0.009332
