Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Baya,28.8,1587825.0,0.103897
Banda,22.9,1262542.0,0.082612
Mandjia,9.9,545815.0,0.035714
Sara,7.9,435549.0,0.028499
M’bakka-Bantou,7.9,435549.0,0.028499
Arabes-Peul (Fulɓe),6.0,330797.0,0.021645
Mbum,6.0,330797.0,0.021645
Ngbaka/Ngbanki,5.5,303231.0,0.019841
Zandé-Nzakara,3.0,165398.0,0.010823
Autres ethnies RCA,2.0,110266.0,0.007215
Non-RCA,0.1,5513.0,0.000361
