Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Mongo,"Mongo (Nkundo, Ekonda, Tetela, etc.)",19980000,18.0,1.397203,Langues mongo + Lingala,"Équateur, Tshuapa, Mongala, Tshopo","UN Data, CIA, Ethnologue",Royaumes forestiers mongo précoloniaux,"Grande famille bantoue agro-forestière, très nombreuse",Agro-forestière sédentaire,Christianisme + croyances traditionnelles,Bantou,Royaumes/clans mongo,Centre-nord RDC
Luba,"Baluba (Luba-Shaba, Luba-Kasaï)",19980000,18.0,1.397203,"Kiluba, Ciluba","Kasai, Haut-Lomami, Lomami, Tanganyika","Britannica, Ethnologue",Empire Luba,Peuple héritier d’un empire précolonial puissant,Sédentaire agricole,Christianisme,Bantou,Empire Luba,Sud-centre RDC
Kongo,"Bakongo (Vili, Yombe, Sundi…)",13320000,12.0,0.931469,Kikongo et variantes,"Kongo Central, Kinshasa périphérique","Britannica, CIA Factbook",Royaume Kongo,Peuple côtier et fluvial transfrontalier,Sédentaire,Christianisme,Bantou,Royaume Kongo,"RDC, Angola, Congo-Brazzaville"
Tshokwe,Chokwe,3330000,3.0,0.232867,Chokwe,"Sud-est (Lualaba, Kwango)",Ethnologue,Réseau Lunda–Chokwe,Connu pour un art et des masques très élaborés,"Semi-nomade, agro-pastorale",Traditions + christianisme,Bantou,Chefferies Lunda–Chokwe,"RDC, Angola, Zambie"
Ngbandi,"Ngbandi (Yakoma, etc.)",3330000,3.0,0.232867,Ngbandi,Nord-ouest (Ubangi),"UN Data, Ethnologue",Chefferies Ngbandi,"Peuple de la région de l’Ubangi, lié à la RCA",Agro-forestière,Christianisme,Nilo-saharien,Chefferies locales,"RDC, République centrafricaine"
Zande,Zande (Nzakara…),2220000,2.0,0.155245,Zande,"Haut-Uele, nord-est",Ethnologue,Sultanat Zande,Peuple guerrier structuré en ancien sultanat,Sédentaire,Christianisme + traditions,Nilo-saharien,Sultanat Zande,"RDC, Soudan du Sud, RCA"
Mangbetu,Mangbetu,2220000,2.0,0.155245,Mangbetu,"Nord-est (Haut-Uele, Ituri)","UNESCO, Ethnologue",Royaumes Mangbetu,"Connu pour son art, ses instruments et ses coiffures",Sédentaire,Christianisme + culte des ancêtres,Congo-nilotique,Royaumes Mangbetu,RDC (principalement)
Lunda,Lunda,2220000,2.0,0.155245,Lunda,"Sud-est (Lualaba, Haut-Katanga)",Ethnologue,Empire Lunda,Ancien empire précolonial étendu,Sédentaire,Christianisme,Bantou,Empire Lunda,"RDC, Angola, Zambie"
Hutu,Hutu,2220000,2.0,0.155245,Kinyarwanda/Kirundi,Nord- et Sud-Kivu,"UNHCR, UN Data",Royaumes interlacustres,Groupe bantou agropastoral des Grands Lacs,Agricole sédentaire,Christianisme,Bantou,Royaumes du Rwanda/Burundi,"RDC, Rwanda, Burundi"
Tutsi,Tutsi,1110000,1.0,0.077622,Kinyarwanda/Kirundi,Kivus (Hautes terres),"UNHCR, UN Data",Royaume du Rwanda,Groupe associé historiquement à la noblesse pastorale,Pastorale,Christianisme,Bantou,Royaumes interlacustres,"RDC, Rwanda, Burundi"
