Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Sara (Ngambaye/Sara/Madjingaye/Mbaye),30.5,6406130.0,0.419174
Kanembou/Bornu/Boudouma,9.8,2058363.0,0.134686
Arabes,9.7,2037359.0,0.133311
Wadaï/Maba/Masalit/Mimi,7.0,1470259.0,0.096204
Goranes (Toubou),5.8,1218215.0,0.079712
Masa/Mussey/Mousgoum,4.9,1029182.0,0.067343
Bilala/Medogo/Kuka,3.7,777137.0,0.050851
Marba/Lélé/Mesme,3.5,735130.0,0.048102
Moundang,2.7,567100.0,0.037107
Bidiyo/Migaama/Kenga/Dangleat,2.5,525093.0,0.034359
Dadjo/Kibet/Mouro,2.4,504089.0,0.032984
Toupouri/Kera,2.0,420074.0,0.027487
Gabri/Kabalaye/Nanchéré/Somraï,2.0,420074.0,0.027487
Peuls/Fulɓe/Bodore,1.8,378067.0,0.024738
Karo/Zimé/Peve,1.3,273048.0,0.017866
Bagirmi/Barma,1.2,252044.0,0.016492
Zaghawa/Bideyat/Kobé,1.1,231041.0,0.015118
Tama/Assongori/Mararit,1.1,231041.0,0.015118
Mesmedjé/Massalat/Kadjakse,0.8,168030.0,0.010995
Autres ethnies tchadiennes,3.4,714126.0,0.046728
Tchadiens d’origines étrangères,0.9,189033.0,0.012369
Étrangers,0.3,63011.0,0.004123
Non précisé,1.7,357063.0,0.023364
