Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Kikuyu,17.1,9950055.0,0.651065
Luhya,14.3,8320806.0,0.544458
Kalenjin,13.4,7797119.0,0.510191
Luo,10.7,6226058.0,0.407392
Kamba,9.8,5702371.0,0.373125
Somali,5.9,3433060.0,0.224637
Kisii,5.7,3316685.0,0.217022
Mijikenda,5.2,3025748.0,0.197985
Meru,4.2,2443873.0,0.159911
Turkana,2.6,1512874.0,0.098992
Maasai,2.1,1221937.0,0.079955
Embu,0.9,523687.0,0.034267
Taita/Taveta,0.7,407312.0,0.026652
"Swahili/Arabes, Européens, Asiatiques",2.4,1396499.0,0.091378
