Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Merina,Merina,7800000,26%,,Malgache,Hautes Terres,EthnoAtlas,Royaume Merina,Groupe majoritaire austronésien,Sédentaire agricole,Christianisme,Austronésienne,Autochtone,Madagascar
Betsimisaraka,Betsimisaraka,4500000,15%,,Malgache,Côte Est,EthnoAtlas,Royaume Betsimisaraka,Côtiers navigateurs,Agricole/côtier,Traditions/Christianisme,Austronésienne,Autochtone,Madagascar
Betsileo,Betsileo,3600000,12%,,Malgache,Hautes Terres Sud,EthnoAtlas,Betsileo,Riziculture en terrasses,Sédentaire,Christianisme,Austronésienne,Autochtone,Madagascar
Sakalava,Sakalava,1800000,6%,,Malgache,Ouest,EthnoAtlas,Royaume Sakalava,Ancienne puissance maritime,Côtier,Traditions,Bantou,Autochtone,Madagascar
Antandroy,Antandroy,1500000,5%,,Malgache,Sud,EthnoAtlas,Antandroy,Peuple du sud aride,Semi-nomade,Traditions,Bantou,Autochtone,Madagascar
Bara,Bara,1500000,5%,,Malgache,Sud-Centre,EthnoAtlas,Bara,Pasteurs de zébus,Pastorale,Traditions/Christianisme,Bantou,Autochtone,Madagascar
Mahafaly,Mahafaly,900000,3%,,Malgache,Sud-Ouest,EthnoAtlas,Mahafaly,Tombeaux sculptés célèbres,Agropastorale,Traditions,Bantou,Autochtone,Madagascar
Antemoro,Antemoro,900000,3%,,Malgache,Sud-Est,EthnoAtlas,Antemoro,Lettrés sorabe,Sédentaire,Islam/Traditions,Austronésienne,Autochtone,Madagascar
Antankarana,Antankarana,600000,2%,,Malgache,Nord,EthnoAtlas,Antankarana,Chefferies du nord,Côtier/montagnard,Traditions,Bantou,Autochtone,Madagascar
Tsimihety,Tsimihety,900000,3%,,Malgache,Nord-Centre,EthnoAtlas,Tsimihety,Société sans rois,Sédentaire,Traditions/Christianisme,Austronésienne,Autochtone,Madagascar
Vezo,Vezo,600000,2%,,Malgache,Côte Sud-Ouest,EthnoAtlas,Vezo,Pêcheurs marins,Côtier,Traditions,Austronésienne,Autochtone,Madagascar
Autres,Divers,4200000,14%,,Divers,Différents,UN Data,—,Groupes minoritaires,Variable,Divers,Divers,Récents,Afrique/Océan Indien
