Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Sukuma/Nyamwezi,16.0,10890855.0,0.712625
Chagga,4.0,2722714.0,0.178156
Haya,4.0,2722714.0,0.178156
Nyakyusa,3.0,2042035.0,0.133617
Hehe,3.0,2042035.0,0.133617
Makonde,3.0,2042035.0,0.133617
Gogo,2.0,1361357.0,0.089078
Swahili (côtiers),1.0,680678.0,0.044539
Arabes/Indo-Tanzaniens/Européens,1.0,680678.0,0.044539
Autres (110+ ethnies),63.0,42882740.0,2.805961
