Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Oromo,34.4,45583190.0,2.98266
Amhara,27.0,35777504.0,2.341041
Somali,6.2,8215575.0,0.537572
Tigré,6.1,8083066.0,0.528902
Sidama,4.0,5300371.0,0.346821
Gurage,2.5,3312732.0,0.216763
Wolayta,2.3,3047713.0,0.199422
Afar,1.7,2252658.0,0.147399
Hadiya,1.7,2252658.0,0.147399
Gamo,1.5,1987639.0,0.130058
Gedeo,1.3,1722621.0,0.112717
Kafa,1.2,1590111.0,0.104046
Silte,1.0,1325093.0,0.086705
"Autres (Agew, Bench, Sheka, Harari…)",5.1,6757973.0,0.442197
