Country,population 2025 du pays,Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l’ethnie estimée dans le pays,pourcentage dans la population totale d’Afrique
Éthiopie,132509273,Oromo,34.4,45583190.0,2.98266
Éthiopie,132509273,Amhara,27.0,35777504.0,2.341041
Éthiopie,132509273,Somali,6.2,8215575.0,0.537572
Éthiopie,132509273,Tigré,6.1,8083066.0,0.528902
Éthiopie,132509273,Sidama,4.0,5300371.0,0.346821
Éthiopie,132509273,Gurage,2.5,3312732.0,0.216763
Éthiopie,132509273,Wolayta,2.3,3047713.0,0.199422
Éthiopie,132509273,Afar,1.7,2252658.0,0.147399
Éthiopie,132509273,Hadiya,1.7,2252658.0,0.147399
Éthiopie,132509273,Gamo,1.5,1987639.0,0.130058
Éthiopie,132509273,Gedeo,1.3,1722621.0,0.112717
Éthiopie,132509273,Kafa,1.2,1590111.0,0.104046
Éthiopie,132509273,Silte,1.0,1325093.0,0.086705
Éthiopie,132509273,"Autres (Agew, Bench, Sheka, Harari…)",5.1,6757973.0,0.442197
Kenya,58187456,Kikuyu,17.1,9950055.0,0.651065
Kenya,58187456,Luhya,14.3,8320806.0,0.544458
Kenya,58187456,Kalenjin,13.4,7797119.0,0.510191
Kenya,58187456,Luo,10.7,6226058.0,0.407392
Kenya,58187456,Kamba,9.8,5702371.0,0.373125
Kenya,58187456,Somali,5.9,3433060.0,0.224637
Kenya,58187456,Kisii,5.7,3316685.0,0.217022
Kenya,58187456,Mijikenda,5.2,3025748.0,0.197985
Kenya,58187456,Meru,4.2,2443873.0,0.159911
Kenya,58187456,Turkana,2.6,1512874.0,0.098992
Kenya,58187456,Maasai,2.1,1221937.0,0.079955
Kenya,58187456,Embu,0.9,523687.0,0.034267
Kenya,58187456,Taita/Taveta,0.7,407312.0,0.026652
Kenya,58187456,"Swahili/Arabes, Européens, Asiatiques",2.4,1396499.0,0.091378
Ouganda,49593928,Baganda,16.5,8182998.0,0.535441
Ouganda,49593928,Banyankole,9.6,4761017.0,0.311529
Ouganda,49593928,Basoga,8.8,4364266.0,0.285568
Ouganda,49593928,Bakiga,7.1,3521169.0,0.230402
Ouganda,49593928,Iteso,6.7,3322793.0,0.217421
Ouganda,49593928,Langi,6.4,3174011.0,0.207686
Ouganda,49593928,Acholi,4.7,2330915.0,0.15252
Ouganda,49593928,Bagisu,4.6,2281321.0,0.149274
Ouganda,49593928,Lugbara,3.3,1636600.0,0.107088
Ouganda,49593928,Banyoro,2.7,1339036.0,0.087618
Ouganda,49593928,Bakonzo,2.6,1289442.0,0.084372
Ouganda,49593928,Banyarwanda,2.4,1190254.0,0.077882
Ouganda,49593928,Autres (50+ groupes),24.6,12200106.0,0.798294
Tanzanie,68067841,Sukuma/Nyamwezi,16.0,10890855.0,0.712625
Tanzanie,68067841,Chagga,4.0,2722714.0,0.178156
Tanzanie,68067841,Haya,4.0,2722714.0,0.178156
Tanzanie,68067841,Nyakyusa,3.0,2042035.0,0.133617
Tanzanie,68067841,Hehe,3.0,2042035.0,0.133617
Tanzanie,68067841,Makonde,3.0,2042035.0,0.133617
Tanzanie,68067841,Gogo,2.0,1361357.0,0.089078
Tanzanie,68067841,Swahili (côtiers),1.0,680678.0,0.044539
Tanzanie,68067841,Arabes/Indo-Tanzaniens/Européens,1.0,680678.0,0.044539
Tanzanie,68067841,Autres (110+ ethnies),63.0,42882740.0,2.805961
Rwanda,14499543,Hutu,84.0,12179616.0,0.796953
Rwanda,14499543,Tutsi,15.0,2174931.0,0.142313
Rwanda,14499543,Twa (Pygmées),1.0,144995.0,0.009488
Burundi,13634108,Hutu,85.0,11588992.0,0.758306
Burundi,13634108,Tutsi,14.0,1908775.0,0.124898
Burundi,13634108,Twa (Batwa),1.0,136341.0,0.008921
Somalie,19422155,Somali,85.0,16508832.0,1.080228
Somalie,19422155,Bantous (descendants d’esclaves),15.0,2913323.0,0.190628
Somalie,19422155,Darod (clan majeur),,,
Somalie,19422155,Hawiye (clan majeur),,,
Somalie,19422155,Dir (clan majeur),,,
Somalie,19422155,Isaaq (clan majeur),,,
Somalie,19422155,Rahanweyn (clan majeur),,,
Djibouti,1170364,Somali (Issa),60.0,702218.0,0.045948
Djibouti,1170364,Afar,35.0,409627.0,0.026803
Djibouti,1170364,Arabes/Européens/Éthiopiens,5.0,58518.0,0.003829
Érythrée,3872529,Tigrinya,55.0,2129891.0,0.139366
Érythrée,3872529,Tigre,30.0,1161759.0,0.076018
Érythrée,3872529,Saho,4.0,154901.0,0.010136
Érythrée,3872529,Afar,4.0,154901.0,0.010136
Érythrée,3872529,Kunama,2.0,77451.0,0.005068
Érythrée,3872529,Bilen,2.0,77451.0,0.005068
Érythrée,3872529,Nara,2.0,77451.0,0.005068
Érythrée,3872529,Rashaida,1.0,38725.0,0.002534
Madagascar,31295607,Merina,26.0,8136858.0,0.532422
Madagascar,31295607,Betsimisaraka,15.0,4694341.0,0.307166
Madagascar,31295607,Betsileo,12.0,3755473.0,0.245733
Madagascar,31295607,Tsimihety,7.0,2190692.0,0.143344
Madagascar,31295607,Sakalava,6.0,1877736.0,0.122867
Madagascar,31295607,Antandroy,5.0,1564780.0,0.102389
Madagascar,31295607,Antaisaka,5.0,1564780.0,0.102389
Madagascar,31295607,Antemoro,4.0,1251824.0,0.081911
Madagascar,31295607,Bara,3.0,938868.0,0.061433
Madagascar,31295607,Antakarana (sous-groupe),,,
Madagascar,31295607,Zafimaniry (sous-groupe),,,
Madagascar,31295607,Autres,14.0,4381385.0,0.286689
Mozambique,35868793,Makua-Lomwe,37.0,13271453.0,0.868395
Mozambique,35868793,Tsonga (Shangaan),23.0,8249822.0,0.539813
Mozambique,35868793,Sena,14.0,5021631.0,0.328582
Mozambique,35868793,Ndau,12.0,4304255.0,0.281642
Mozambique,35868793,Shona,6.0,2152128.0,0.140821
Mozambique,35868793,Swahili/Maconde/Chewa/Yao (regroupés),5.0,1793440.0,0.117351
Mozambique,35868793,Européens/Indiens/Métis,1.0,358688.0,0.02347
Mozambique,35868793,Autres,2.0,717376.0,0.04694
Maurice,1327729,Indo-Mauriciens,68.0,902856.0,0.059077
Maurice,1327729,Créoles,27.0,358487.0,0.023457
Maurice,1327729,Sino-Mauriciens,3.0,39832.0,0.002606
Maurice,1327729,Franco-Mauriciens,2.0,26555.0,0.001738
Seychelles,107660,Créoles (mélange africain/européen/asiatique),94.0,101200.0,0.006622
Seychelles,107660,Autres,6.0,6460.0,0.000423
Comores,939348,Comoriens (bantou-arabe),99.0,929955.0,0.06085
Comores,939348,Malgaches/Français/Arabes,1.0,9393.0,0.000615
Malawi,22758312,Chewa,34.3,7806101.0,0.510779
Malawi,22758312,Lomwe,18.9,4301321.0,0.28145
Malawi,22758312,Yao,13.8,3140647.0,0.205503
Malawi,22758312,Ngoni,12.4,2822031.0,0.184655
Malawi,22758312,Tumbuka,9.2,2093765.0,0.137002
Malawi,22758312,Nyanja,3.8,864816.0,0.056588
Malawi,22758312,Sena,3.6,819299.0,0.053609
Malawi,22758312,Tonga,2.1,477925.0,0.031272
Malawi,22758312,Autres,2.0,455166.0,0.029783
Soudan du Sud,11800000,Dinka,,,
Soudan du Sud,11800000,Nuer,,,
Soudan du Sud,11800000,Shilluk,,,
Soudan du Sud,11800000,Azande,,,
Soudan du Sud,11800000,Bari,,,
Soudan du Sud,11800000,Autres Nilotiques & groupes,,,
