Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Mossi,52.0,12518782.0,0.819146
Fulani (Peuls),8.4,2022265.0,0.132324
Gurma,7.0,1685221.0,0.11027
Bobo,4.9,1179654.0,0.077189
Gurunsi,4.6,1107431.0,0.072463
Sénoufo,4.5,1083356.0,0.070888
Bissa,3.7,890759.0,0.058285
Lobi,2.4,577790.0,0.037807
Dagara,2.4,577790.0,0.037807
Touareg/Bella,1.9,457417.0,0.02993
Dioula,0.8,192597.0,0.012602
Non précisé,0.3,72224.0,0.004726
Autres,7.2,1733370.0,0.11342
