Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Fon & apparentés,38.4,5688753.0,0.372234
Adja & apparentés,15.1,2236983.0,0.146373
Yoruba & apparentés,12.0,1777735.0,0.116323
Bariba & apparentés,9.6,1422188.0,0.093059
Peul (Fulani) & apparentés,8.6,1274044.0,0.083365
Ottamari & apparentés,6.1,903682.0,0.059131
Yoa-Lokpa & apparentés,4.3,637022.0,0.041682
Dendi & apparentés,2.9,429619.0,0.028111
Autres,0.9,133330.0,0.008724
Étrangers,1.9,281475.0,0.018418
