Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Kpelle,20.3,1163435.0,0.076127
Bassa,13.4,767982.0,0.050252
Grebo,10.0,573121.0,0.037501
Gio,8.0,458496.0,0.030001
Mano,7.9,452765.0,0.029626
Kru,6.0,343872.0,0.022501
Lorma,5.1,292292.0,0.019126
Kissi,4.8,275098.0,0.018001
Gola,4.4,252173.0,0.016501
Krahn,4.0,229248.0,0.015
Vai,4.0,229248.0,0.015
Mandingo,3.2,183399.0,0.012
Gbandi,3.0,171936.0,0.01125
Mende,1.3,74506.0,0.004875
Sapo,1.3,74506.0,0.004875
Autres Libériens,1.7,97431.0,0.006375
Autres Africains,1.4,80237.0,0.00525
Non-Africains,0.1,5731.0,0.000375
