Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Hausa-Fulani,"Hausa, Fulani",68100000,30.0,4.762238,Hausa + Fulfulde,Nord,"NBS Nigeria, Ethnologue",Sultanats hausa + califat de Sokoto,Groupe majoritaire du Nord,Sédentaire + pastorale,Islam,Afro-asiatique (Hausa) + Atlantic (Fulani),Sultanats hausa-fulani,"Niger, Cameroun"
Yoruba,"Yoruba (Oyo, Egba, Ijebu…)",34050000,15.0,2.381119,Yoruba,Sud-Ouest,"NBS, CIA","Royaumes Yoruba (Oyo, Ife)",Grande civilisation urbaine yoruba,Sédentaire urbaine,Christianisme + Ifa + Islam,Yoruba (Niger-Congo),Royaumes Yoruba,"Bénin, Togo"
Igbo,Igbo (Ibo),34050000,15.0,2.381119,Igbo,Sud-Est,"NBS, Ethnologue",Chefferies Igbo,Peuple très entrepreneurial,Sédentaire agricole,Christianisme,Igbo (Niger-Congo),Villages Igbo,Cameroun (minorités)
Ijaw,Ijaw,9080000,4.0,0.634965,Ijaw,Delta du Niger,NBS,Royaumes du Delta,Peuple du Delta pétrolier,Pêche + commerce,Christianisme + traditions,Ijaw (Niger-Congo),Chefferies du delta,Delta du Niger
Kanuri,Kanuri,9080000,4.0,0.634965,Kanuri,"Borno, Yobe",Ethnologue,Empire du Kanem-Bornou,Peuple sahélien ancien,Sédentaire sahélienne,Islam,Saharan,Empire Kanem-Bornu,"Tchad, Niger"
Tiv,Tiv,5675000,2.5,0.396853,Tiv,Benue,NBS,Chefferies Tiv,Grands agriculteurs du plateau central,Sédentaire,Christianisme + traditions,Benue-Congo,Chefferies Tiv,Nigeria central
Ibibio-Efik,"Ibibio, Efik",7945000,3.5,0.555594,"Ibibio, Efik",Sud-Sud,Ethnologue,Royaumes Ibibio,Peuples côtiers forestiers,Sédentaire + pêche,Christianisme,Cross River,Royaumes Calabar,Cameroun
Edo,Bini (Edo),4540000,2.0,0.317483,Edo,État d’Edo,NBS,Royaume du Bénin,Héritiers du royaume du Bénin,Urbaine,Christianisme + traditions,Edoid,Royaume du Bénin,Nigeria Sud
Nupe,Nupe,3405000,1.5,0.238112,Nupe,Níger State,Ethnologue,Royaume Nupe,Peuple muslim du centre,Sédentaire,Islam,Niger-Congo,Royaume Nupe,Nigeria central
Gwari,Gbagyi / Gwari,3405000,1.5,0.238112,Gbagyi,Centre,Ethnologue,Chefferies Gbagyi,Peuple des collines du centre,Sédentaire,Christianisme + traditions,Niger-Congo,Chefferies Gwari,Nigeria centre
