Country,population 2025 du pays,Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l’ethnie estimée dans le pays,pourcentage dans la population totale d’Afrique
Bénin,14814460,Fon & apparentés,38.4,5688753.0,0.372234
Bénin,14814460,Adja & apparentés,15.1,2236983.0,0.146373
Bénin,14814460,Yoruba & apparentés,12.0,1777735.0,0.116323
Bénin,14814460,Bariba & apparentés,9.6,1422188.0,0.093059
Bénin,14814460,Peul (Fulani) & apparentés,8.6,1274044.0,0.083365
Bénin,14814460,Ottamari & apparentés,6.1,903682.0,0.059131
Bénin,14814460,Yoa-Lokpa & apparentés,4.3,637022.0,0.041682
Bénin,14814460,Dendi & apparentés,2.9,429619.0,0.028111
Bénin,14814460,Autres,0.9,133330.0,0.008724
Bénin,14814460,Étrangers,1.9,281475.0,0.018418
Burkina Faso,24074580,Mossi,52.0,12518782.0,0.819146
Burkina Faso,24074580,Fulani (Peuls),8.4,2022265.0,0.132324
Burkina Faso,24074580,Gurma,7.0,1685221.0,0.11027
Burkina Faso,24074580,Bobo,4.9,1179654.0,0.077189
Burkina Faso,24074580,Gurunsi,4.6,1107431.0,0.072463
Burkina Faso,24074580,Sénoufo,4.5,1083356.0,0.070888
Burkina Faso,24074580,Bissa,3.7,890759.0,0.058285
Burkina Faso,24074580,Lobi,2.4,577790.0,0.037807
Burkina Faso,24074580,Dagara,2.4,577790.0,0.037807
Burkina Faso,24074580,Touareg/Bella,1.9,457417.0,0.02993
Burkina Faso,24074580,Dioula,0.8,192597.0,0.012602
Burkina Faso,24074580,Non précisé,0.3,72224.0,0.004726
Burkina Faso,24074580,Autres,7.2,1733370.0,0.11342
Cabo Verde (Cap-Vert),527326,Créoles (métis),71.0,374401.0,0.024498
Cabo Verde (Cap-Vert),527326,Africains,28.0,147651.0,0.009661
Cabo Verde (Cap-Vert),527326,Européens,1.0,5273.0,0.000345
Côte d’Ivoire,32711547,Akan,28.9,9453637.0,0.618583
Côte d’Ivoire,32711547,Voltaïques/Gur,16.1,5266559.0,0.344609
Côte d’Ivoire,32711547,Mandé du Nord,14.5,4743174.0,0.310362
Côte d’Ivoire,32711547,Kru,8.5,2780481.0,0.181936
Côte d’Ivoire,32711547,Mandé du Sud,6.9,2257097.0,0.147689
Côte d’Ivoire,32711547,Non précisé,0.9,294404.0,0.019264
Côte d’Ivoire,32711547,Non-ivoiriens,24.2,7916194.0,0.517983
Gambie,2822093,Mandinka/Jahanka,33.3,939757.0,0.061491
