Country,population 2025 du pays,Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l’ethnie estimée dans le pays,pourcentage dans la population totale d’Afrique
Algérie,46011225,Arabes,85.0,39109541.0,2.559068
Algérie,46011225,"Berbères (Kabyles, Chaouis, Mozabites, Touaregs)",15.0,6901684.0,0.4516
Algérie,46011225,Kabyles (sous-groupe),,,
Algérie,46011225,Chaouis (sous-groupe),,,
Algérie,46011225,Touaregs (sous-groupe),,,
Algérie,46011225,Mozabites (sous-groupe),,,
Maroc,38843577,Arabes,70.0,27190504.0,1.779165
Maroc,38843577,"Amazighs (Rifains, Chleuhs, Zayanes…)",30.0,11653073.0,0.762499
Maroc,38843577,Chleuhs (sous-groupe),,,
Maroc,38843577,Rifains (sous-groupe),,,
Maroc,38843577,Zayanes & Moyen Atlas (sous-groupe),,,
Tunisie,12915235,Arabes,98.0,12656930.0,0.828185
Tunisie,12915235,"Amazighs (Djerba, Matmata, Chenini, Douiret…)",1.0,129152.0,0.008451
Tunisie,12915235,"Autres (européens, subsahariens)",1.0,129152.0,0.008451
Égypte,113704756,Égyptiens arabophones,95.0,108019518.0,7.068077
Égypte,113704756,Nubiens,2.0,2274095.0,0.148802
Égypte,113704756,Bédouins (Sinaï & Ouest),1.0,1137048.0,0.074401
Égypte,113704756,Amazighs (Siwa),0.2,227410.0,0.01488
Égypte,113704756,"Autres (Grecs, Arméniens, réfugiés…)",1.8,2046686.0,0.133921
Libye,7090878,Arabes & Berbères arabisés,92.0,6523608.0,0.426861
Libye,7090878,Touaregs & Toubous,6.0,425453.0,0.027839
Libye,7090878,Subsahariens (immigrés),2.0,141818.0,0.00928
Soudan,49867774,"Arabes (Jaaliyin, Shaigiya, etc.)",70.0,34907442.0,2.28411
Soudan,49867774,"Nubas, Bejas, Fur, Nuer, Dinka et autres",30.0,14960332.0,0.978904
Soudan,49867774,Beja (sous-groupe),,,
Soudan,49867774,Fur (sous-groupe),,,
Soudan,49867774,Nuba (sous-groupe),,,
Mauritanie,5050786,Maures (Arabes/Berbères arabisés),70.0,3535550.0,0.231343
Mauritanie,5050786,Haratines,15.0,757618.0,0.049573
Mauritanie,5050786,"Afro-Mauritaniens (Peuls, Soninkés, Wolofs)",15.0,757618.0,0.049573
Mauritanie,5050786,Peuls (sous-groupe),,,
Mauritanie,5050786,Soninkés (sous-groupe),,,
Mauritanie,5050786,Wolofs (sous-groupe),,,
Sahara occidental (RASD),629224,Sahraouis (Hassanya),99.0,622932.0,0.040761
Sahara occidental (RASD),629224,Autres,1.0,6292.0,0.000412
