Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Kongo (Bakongo),40.5,undefined,undefined
Téké,16.9,undefined,undefined
Mbochi,13.1,undefined,undefined
Étrangers,8.2,undefined,undefined
Sangha,5.6,undefined,undefined
Mbere/Mbeti/Kélé,4.4,undefined,undefined
Punu,4.3,undefined,undefined
Pygmées,1.6,undefined,undefined
Oubangiens,1.6,undefined,undefined
Duma,1.5,undefined,undefined
Makaa,1.3,undefined,undefined
Autres/NS,1.0,undefined,undefined
