Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Baganda,16.5,undefined,undefined
Banyankole,9.6,undefined,undefined
Basoga,8.8,undefined,undefined
Bakiga,7.1,undefined,undefined
Iteso,6.7,undefined,undefined
Langi,6.4,undefined,undefined
Acholi,4.7,undefined,undefined
Bagisu,4.6,undefined,undefined
Lugbara,3.3,undefined,undefined
Banyoro,2.7,undefined,undefined
Bakonzo,2.6,undefined,undefined
Banyarwanda,2.4,undefined,undefined
Autres (50+ groupes),24.6,undefined,undefined
