Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Sukuma/Nyamwezi,16.0,undefined,undefined
Chagga,4.0,undefined,undefined
Haya,4.0,undefined,undefined
Nyakyusa,3.0,undefined,undefined
Hehe,3.0,undefined,undefined
Makonde,3.0,undefined,undefined
Gogo,2.0,undefined,undefined
Swahili (côtiers),1.0,undefined,undefined
Arabes/Indo-Tanzaniens/Européens,1.0,undefined,undefined
Autres (110+ ethnies),63.0,undefined,undefined
