Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Fon & apparentés,38.4,undefined,undefined
Adja & apparentés,15.1,undefined,undefined
Yoruba & apparentés,12.0,undefined,undefined
Bariba & apparentés,9.6,undefined,undefined
Peul (Fulani) & apparentés,8.6,undefined,undefined
Ottamari & apparentés,6.1,undefined,undefined
Yoa-Lokpa & apparentés,4.3,undefined,undefined
Dendi & apparentés,2.9,undefined,undefined
Autres,0.9,undefined,undefined
Étrangers,1.9,undefined,undefined
