Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l'ethnie estimée dans le pays,pourcentage dans la population totale d'Afrique
Kpelle,20.3,undefined,undefined
Bassa,13.4,undefined,undefined
Grebo,10.0,undefined,undefined
Gio,8.0,undefined,undefined
Mano,7.9,undefined,undefined
Kru,6.0,undefined,undefined
Lorma,5.1,undefined,undefined
Kissi,4.8,undefined,undefined
Gola,4.4,undefined,undefined
Krahn,4.0,undefined,undefined
Vai,4.0,undefined,undefined
Mandingo,3.2,undefined,undefined
Gbandi,3.0,undefined,undefined
Mende,1.3,undefined,undefined
Sapo,1.3,undefined,undefined
Autres Libériens,1.7,undefined,undefined
Autres Africains,1.4,undefined,undefined
Non-Africains,0.1,undefined,undefined
